evidence_id,campaign_id,test_id,data_hora,caminho,tipo,formato,sha256,gerado_por,descricao,observacoes
a11y-local-0001,a11y-local,ACC-AUT-001,2026-07-13T23:06:48.244Z,artifacts/a11y/ACC-AUT-001-login.png,captura,png,0a6860d1e00db596bfbe2e018d4e921e53b7487fa14a036419989b7ecf3e916b,automated,,
a11y-local-0002,a11y-local,ACC-AUT-002,2026-07-13T23:06:48.244Z,artifacts/a11y/ACC-AUT-002-dashboard.png,captura,png,54a7c79ea9d79c861ac2ad9a6c90d29a2f4e01b5e3e8534c618fb9b99d01414e,automated,,
a11y-local-0003,a11y-local,ACC-AUT-003,2026-07-13T23:06:48.244Z,artifacts/a11y/ACC-AUT-003-error.png,captura,png,757262482be807dac48ca0fd4448711474cbb41a8e431682ce4454bdbadd65cd,automated,,
a11y-local-0004,a11y-local,ACC-AUT-003,2026-07-13T23:06:48.244Z,artifacts/a11y/ACC-AUT-003-initial.png,captura,png,b327565b0ef7aa9afd96c74a1deffad930fe9182ec38fdea58154e97c2d8e98a,automated,,
a11y-local-0005,a11y-local,ACC-AUT-004,2026-07-13T23:06:48.244Z,artifacts/a11y/ACC-AUT-004-params.png,captura,png,b1ed36fb29000b92f1e6b2677459fb6f0163a6efdee2be04fa6db4e2f0cbcbea,automated,,
a11y-local-0006,a11y-local,ACC-AUT-005,2026-07-13T23:06:48.244Z,artifacts/a11y/ACC-AUT-005-after.png,captura,png,d633937a24987ae0db6ae870936c6baf3ec16e29ccfc98a4fc389c2ad321098a,automated,,
a11y-local-0007,a11y-local,ACC-AUT-005,2026-07-13T23:06:48.244Z,artifacts/a11y/ACC-AUT-005-before.png,captura,png,d899157ce2a9b4240c01061d7a6c4cec0322c07f51444536feadd53f035d351b,automated,,
a11y-local-0008,a11y-local,ACC-AUT-006,2026-07-13T23:06:48.244Z,artifacts/a11y/ACC-AUT-006-rendered.png,captura,png,9c1618be703d2c204d4e08d08d5b2585380615183480493713fe1fdec28f9c28,automated,,
a11y-local-0009,a11y-local,,2026-07-13T23:06:48.244Z,artifacts/pw-output/.last-run.json,artefacto,json,91d1c43004802cd49950d78eb11c8fa7d05da8ffffe219a8b13b2f561bc00903,automated,,
a11y-local-0010,a11y-local,,2026-07-13T23:06:48.244Z,frozen-configs.json,configuracao,json,c2d93cd5e486dc2e23fc29de1bca05ef215149f06cc23bf90feadfabc6c9de86,automated,,
a11y-local-0011,a11y-local,,2026-07-13T23:06:48.244Z,metadados.json,metadados,json,687f3f66adcea78519d7f282e13fc84e60cbb978acdbb7a7645de463fe265c83,automated,,
a11y-local-0012,a11y-local,,2026-07-13T23:06:48.244Z,playwright-report/index.html,relatorio,html,157b7e22f2024bb4a08fc15e0c2d28624f899f0d12df6a84a1b425f5cca5feea,automated,,
a11y-local-0013,a11y-local,,2026-07-13T23:06:48.244Z,results/a11y-local-summary.json,resultado,json,ca22a0833b63fd6e23557f74787d5dbe3c319cf89ed000715335db059b5ea13a,automated,,
a11y-local-0014,a11y-local,,2026-07-13T23:06:48.244Z,results/a11y-manual-checklist.json,resultado,json,ef6378e762356f2803b6fa2b5d8a73984b15699dfa6c1a6decebc4e3a183ed10,automated,,
a11y-local-0015,a11y-local,ACC-AUT-001,2026-07-13T23:06:48.244Z,results/acc__ACC-AUT-001-login.json,resultado,json,588652ff193b9bcd136004bdd9dc2814001f0ec93165f2187de0ef0ca4dfff0d,automated,,
a11y-local-0016,a11y-local,ACC-AUT-002,2026-07-13T23:06:48.244Z,results/acc__ACC-AUT-002-dashboard.json,resultado,json,d9657f4b5bce8ed19015c1d1e3b9ac3ca9e4b288389f79fa49323e3a2687fede,automated,,
a11y-local-0017,a11y-local,ACC-AUT-003,2026-07-13T23:06:48.244Z,results/acc__ACC-AUT-003-error.json,resultado,json,da22a07c72a1ab268b576b8d04f9cdeabf8daf99baf450ae2a07d7da46777d5c,automated,,
a11y-local-0018,a11y-local,ACC-AUT-003,2026-07-13T23:06:48.244Z,results/acc__ACC-AUT-003-initial.json,resultado,json,db71adbca56cd764464cf6eb67a25596f6b4fe7f878e371017703521235455d6,automated,,
a11y-local-0019,a11y-local,ACC-AUT-004,2026-07-13T23:06:48.244Z,results/acc__ACC-AUT-004-params.json,resultado,json,e5390147a61cd16134c9dd83fd6bff9ca7dd2c800c244a524af50693360c5062,automated,,
a11y-local-0020,a11y-local,ACC-AUT-005,2026-07-13T23:06:48.244Z,results/acc__ACC-AUT-005-after.json,resultado,json,8937d70dc0e8459ec35812e57dc3ce9c6a73c45a87b766747d0eec786077a4dd,automated,,
a11y-local-0021,a11y-local,ACC-AUT-005,2026-07-13T23:06:48.244Z,results/acc__ACC-AUT-005-before.json,resultado,json,b33975de3f15a22d3e444cb7da553305381df3a769dac4af97b390cdbd95ee9d,automated,,
a11y-local-0022,a11y-local,ACC-AUT-006,2026-07-13T23:06:48.244Z,results/acc__ACC-AUT-006-rendered.json,resultado,json,9ef166f9255020c98d3f7ae8016565e014dde6afd5b29ab9bb135d70b5b8bf29,automated,,
a11y-local-0023,a11y-local,,2026-07-13T23:06:48.244Z,results/playwright-results.json,resultado,json,b65c43f02dd18509321fbe51430c6cde20b7263f0d3d45994e92913e2979250c,automated,,
