modelo,perfil,material,ponto_medido,parametro_entrada,estado_parametro,entrada_mm,malha_mm,medicao_fisica_mm,numero_leituras,desvio_malha_peca_mm,desvio_percentual,ficheiro_malha,fonte_medicao
Flexy Beast,child_8,PLA,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,64.0,97.385,97.101,1,-0.284,-0.292,docs/print-validation/flexy_beast/child_8/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,child_8,PLA,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,80.103,79.869,1,-0.234,-0.292,docs/print-validation/flexy_beast/child_8/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,child_8,PLA,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,37.123,37.015,1,-0.108,-0.291,docs/print-validation/flexy_beast/child_8/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,child_8,PETG,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,64.0,97.385,97.024,1,-0.361,-0.371,docs/print-validation/flexy_beast/child_8/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,child_8,PETG,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,80.103,79.806,1,-0.297,-0.371,docs/print-validation/flexy_beast/child_8/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,child_8,PETG,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,37.123,36.986,1,-0.137,-0.369,docs/print-validation/flexy_beast/child_8/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,teen_15,PLA,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,78.0,117.144,116.798,1,-0.346,-0.295,docs/print-validation/flexy_beast/teen_15/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,teen_15,PLA,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,96.355,96.071,1,-0.284,-0.295,docs/print-validation/flexy_beast/teen_15/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,teen_15,PLA,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,44.655,44.524,1,-0.131,-0.293,docs/print-validation/flexy_beast/teen_15/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,teen_15,PETG,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,78.0,117.144,116.688,1,-0.456,-0.389,docs/print-validation/flexy_beast/teen_15/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,teen_15,PETG,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,96.355,95.980,1,-0.375,-0.389,docs/print-validation/flexy_beast/teen_15/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,teen_15,PETG,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,44.655,44.481,1,-0.174,-0.390,docs/print-validation/flexy_beast/teen_15/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,adult_28,PLA,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,90.0,134.081,133.690,1,-0.391,-0.292,docs/print-validation/flexy_beast/adult_28/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,adult_28,PLA,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,110.286,109.965,1,-0.321,-0.291,docs/print-validation/flexy_beast/adult_28/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,adult_28,PLA,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,51.112,50.963,1,-0.149,-0.292,docs/print-validation/flexy_beast/adult_28/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,adult_28,PETG,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,90.0,134.081,133.554,1,-0.527,-0.393,docs/print-validation/flexy_beast/adult_28/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,adult_28,PETG,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,110.286,109.853,1,-0.433,-0.393,docs/print-validation/flexy_beast/adult_28/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,adult_28,PETG,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,51.112,50.911,1,-0.201,-0.393,docs/print-validation/flexy_beast/adult_28/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,elderly_70,PLA,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,84.0,125.612,125.214,1,-0.398,-0.317,docs/print-validation/flexy_beast/elderly_70/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,elderly_70,PLA,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,103.321,102.994,1,-0.327,-0.316,docs/print-validation/flexy_beast/elderly_70/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,elderly_70,PLA,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,47.884,47.732,1,-0.152,-0.317,docs/print-validation/flexy_beast/elderly_70/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,elderly_70,PETG,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,84.0,125.612,125.091,1,-0.521,-0.415,docs/print-validation/flexy_beast/elderly_70/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,elderly_70,PETG,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,103.321,102.892,1,-0.429,-0.415,docs/print-validation/flexy_beast/elderly_70/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Flexy Beast,elderly_70,PETG,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,47.884,47.685,1,-0.199,-0.416,docs/print-validation/flexy_beast/elderly_70/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,child_8,PLA,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,63.0,76.513,76.277,1,-0.236,-0.308,docs/print-validation/paraglider_hand/child_8/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,child_8,PLA,Palma: extensão total no eixo Y,palm_length_mm,contextual; não controla este eixo de forma independente,78.0,86.306,86.040,1,-0.266,-0.308,docs/print-validation/paraglider_hand/child_8/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,child_8,PLA,Palma: extensão total no eixo Z,palm_thickness_mm,contextual; não controla este eixo de forma independente,20.0,28.989,28.900,1,-0.089,-0.307,docs/print-validation/paraglider_hand/child_8/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,child_8,PETG,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,63.0,76.513,76.204,1,-0.309,-0.404,docs/print-validation/paraglider_hand/child_8/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,child_8,PETG,Palma: extensão total no eixo Y,palm_length_mm,contextual; não controla este eixo de forma independente,78.0,86.306,85.957,1,-0.349,-0.404,docs/print-validation/paraglider_hand/child_8/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,child_8,PETG,Palma: extensão total no eixo Z,palm_thickness_mm,contextual; não controla este eixo de forma independente,20.0,28.989,28.872,1,-0.117,-0.404,docs/print-validation/paraglider_hand/child_8/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,teen_15,PLA,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,78.0,94.730,94.431,1,-0.299,-0.316,docs/print-validation/paraglider_hand/teen_15/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,teen_15,PLA,Palma: extensão total no eixo Y,palm_length_mm,contextual; não controla este eixo de forma independente,105.0,106.855,106.517,1,-0.338,-0.316,docs/print-validation/paraglider_hand/teen_15/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,teen_15,PLA,Palma: extensão total no eixo Z,palm_thickness_mm,contextual; não controla este eixo de forma independente,25.0,35.892,35.778,1,-0.114,-0.318,docs/print-validation/paraglider_hand/teen_15/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,teen_15,PETG,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,78.0,94.730,94.377,1,-0.353,-0.373,docs/print-validation/paraglider_hand/teen_15/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,teen_15,PETG,Palma: extensão total no eixo Y,palm_length_mm,contextual; não controla este eixo de forma independente,105.0,106.855,106.457,1,-0.398,-0.372,docs/print-validation/paraglider_hand/teen_15/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
