Title,Authors,URL,DOI,Published Date,Summary
Prosthetic Devices and Methods,S. Gard,https://www.semanticscholar.org/paper/6e96cdd28b9b122eec09d131e8e9e4ac9f933bad,,2006,"Limb prostheses are designed to replace missing or absent anatomical limbs for the purpose of providing increased function or cosmesis. The goal of the prosthetist is to fit the patient with a prosthesis that best suits their needs and is able to maximize their rehabilitation potential while minimizing disability. Some of the issues that the prosthetist must consider when fabricating a prosthesis include the patient's level of amputation, the condition of their residual anatomy, and the potential impact other health problems may have on their prosthetic usage. Furthermore, the patient's age, gender, activity level, rehabilitation goals, vocational needs, and avocational desires must also be taken into account. The goal in the fitting of lower-limb prostheses is generally to restore a person's ability to stand and ambulate, and the components are selected by the prosthetist according to the potential walking ability of the patient. Upper-limb prostheses are used for reaching, grasping, holding, and positioning objects. Issues concerning the control and interfacing of the upper-limb prosthesis with the body are of primary consideration. The latest technological advances in prosthetic limb components have been aimed at improving function and simplifying operation, with the goal of enabling users to move naturally and to effectively interact with the environment. 
 
 
Keywords: 
 
prosthesis; 
prosthetics; 
amputation; 
upper-limb; 
lower-limb"
Devising the prosthetic prescription and typical examples.,T. Passero,https://www.semanticscholar.org/paper/0508bf0ba309bbc1905298be066b3ef0ef663148,,2014,"Limb deficiency has a significant impact on the involved person, with upper limb absence presenting a materially different set of issues than lower limb absence. The primary objectives in fitting a patient with a prosthesis are to enhance their independence in performing daily activities, and to improve their quality of life. For lower limb absence, the primary issues are safety, stability, and the ability to ambulate in a manner consistent with their overall health. The primary objectives in prescribing upper limb prosthetics are function, durability, appearance, comfort, and usability of the device. This article discusses the nuances associated with managing these patients.

Copyright © 2014 Elsevier Inc. All rights reserved.

"
Prosthesis Usage and Functional Status in Upper Limb Amputees: A Prospective Cross-Sectional Study,"Aravind P Rajan, A. Chanu, S. Venkataraman, U. Singh",https://assets.cureus.com/uploads/original_article/pdf/277253/20240729-1491083-euasx5.pdf,,2024,"Introduction Amputation poses significant challenges encompassing psychological, physical, and socio-economic dimensions, impacting individuals and society at large. In India, a substantial portion of the population faces loco-motor disabilities, with amputees forming a notable segment. Prosthetic rehabilitation plays a crucial role in mitigating the consequences of limb loss, aiming to restore autonomy post-amputation. Methods A prospective cross-sectional observational study was conducted over 18 months, from November 2018 to May 2020, involving unilateral upper limb amputees (ULAs) aged over 18 years. A consecutive cohort of 33 patients, predominantly male (30 males and three females), with a mean age of 43 ± 12 years (median: 43 years; range: 20-67 years), was prospectively enrolled in the study. Participants had completed at least one month of post-prosthetic fitment and were actively attending outpatient or prosthetic checkout clinics. The study utilized the Manipal Prosthetic Rehabilitation Success (PRS) score and the Orthotics and Prosthetics User Survey Upper Extremity Functional Status (OPUS UEFS) score to assess prosthesis usage and functional status. Statistical analyses included descriptive statistics, Chi-square tests, Mann-Whitney U tests, Kruskal-Wallis tests, and multivariate logistic regression analysis. Results The study revealed insights into upper limb prosthesis usage in India, highlighting factors influencing the success and challenges faced by ULAs. Associations were found between the success of prosthesis usage and several factors: occupation type (p=0.012), the side of amputation involving non-dominant limbs (p=0.033), comfort level (p=0.002), and prosthesis weight (p=0.029). Comfort level emerged as a primary predictor of usage success. The OPUS UEFS scores indicated varying levels of satisfaction and usage patterns among participants, with some utilizing prostheses for specific tasks while others for broader activities. Comfort level demonstrated a statistically significant difference in OPUS UEFS scores, favoring comfortable prostheses (p=0.020). Additionally, the mean OPUS UEFS score for patients with satisfactory or good prosthesis use was 53 ± 11 (median: 55; range: 22-64), compared to 45 ± 13 (median: 43; range: 18 - 64) in those with poor prosthesis use, with the difference nearing statistical significance (p=0.058). Conclusion The study sheds light on the landscape of upper limb prosthesis usage in India, emphasizing the need for tailored interventions based on individual needs and cultural contexts. The findings underscore the importance of comfort, side of amputation involving non-dominant limbs, occupation type, and prosthesis weight in determining the success of prosthesis usage. Opportunities exist to enhance upper limb prosthetic care in India by addressing cultural nuances and refining assessment tools to better suit the Indian population."
"Introductory Chapter: Past, Present, and Future of Prostheses and Rehabilitation","Shanthini Madhanagopal, Martin K. Burns, Dingyi Pei, Rohan Mukundhan, Helen Meyerson, R. Vinjamuri",https://api.intechopen.com/chapter/pdf-download/69806.pdf,,2020,"A prosthesis is defined as “...a device attached to the stump of an amputated body part due to traumatic or congenital conditions...” [1]. Prostheses have evolved over the past centuries, starting with a wooden toe to the highly mechanized robotic limbs of today. The evolution of prosthesis started in the Egyptian period during which wood was used as a replacement for a missing toe, coconut shell was used as a dental implant, and various other materials were used as an alternative to different body parts. There are various types of prostheses depending on the body part being replaced. These include upper and lower limb (LL) prostheses, neural prostheses (NP), retinal prostheses, maxillofacial prostheses, and various other types. Each prosthesis is designed and assembled based on the person’s physical appearance, functional needs, and affordability [2–7]. The history of lower limb prosthesis is outlined in Table 1. This is a summary of our findings from [8, 9]. Amputations are estimated to occur between 300 and 500 times per day, leading to an increased usage of prostheses [10]. With increased need there are various factors which impact prosthesis usage, including whether the amputation is unilateral or bilateral, the time duration between amputation and prosthetic fitting, type of prosthesis used, physical health factors such as phantom-limb pain, and the psychological impact of amputation such as perception of symptoms, self-efficiency, balance confidence, treatment cost, and time taken to adapt to the prosthesis. The quality of life post-rehabilitation does not solely depend on the abovementioned factors but also includes functional utility and satisfaction over time. Improvements in quality of life are possible with recent innovations in design tools, materials, and different types of manufacturing, aiding in customizing prosthesis according to patient needs [11]. Novel rehabilitation methods, different types of prostheses, their limitations, and recent advancements will be discussed in this chapter."
Prosthesis Options and Management in Upper Extremity Amputation,"Christopher Fink, Yoni Diamond",https://www.semanticscholar.org/paper/3532a770446eb6144ef25a6b0162d1f98b61e0ff,,2023,"Amputation surgery is a life-altering experience, profoundly impacting an individual's ability to perform daily tasks and engage in their chosen activities. Upper extremity prostheses have advanced remarkably, offering diverse solutions to restore functionality and enhance the quality of life for amputees. This article provides a comprehensive examination of the various types of upper extremity prostheses available today, highlighting their unique features, advantages, and limitations. This article categorizes upper extremity prostheses into three main types: body-powered prostheses, myoelectric prostheses, and advanced prosthetic technologies. Passive prostheses are generally designed to replicate the appearance of the missing limb. Body-powered prostheses rely on cables and harnesses for control, offering affordability and durability. Myoelectric prostheses employ electromyography (EMG) signals from residual muscles for intuitive and precise control. Advanced prosthetic technologies, including neural interfaces and 3D printing, are pushing the boundaries of what is possible in terms of functionality and customization. This article aims to serve as a valuable resource for upper extremity surgeons to help guide options and even optimize surgical plans to allow individuals to maximize the use of upper extremity prostheses."
Upper limb prosthetic prescription,Y. Demir,https://doi.org/10.5606/tftrd.2023.12933,,2023,"One of the most important parameters of prosthesis rehabilitation is to determine the most suitable prosthesis in patients with upper extremity amputation. When deciding on the prosthesis, the clinical features of the amputee should be highly matched with the predicted prosthesis. Prescribing the most suitable prosthesis and minimizing the mismatch can be possible with a detailed prosthetic evaluation."
Upper limb prosthesis use and abandonment: A survey of the last 25 years,"E. Biddiss, T. Chau",https://www.semanticscholar.org/paper/39733ca7d1b5e542c77536bd1a7862f600dddc0d,,2007,"This review presents an analytical and comparative survey of upper limb prosthesis acceptance and abandonment as documented over the past 25 years, detailing areas of consumer dissatisfaction and ongoing technological advancements. English-language articles were identified in a search of Ovid, PubMed, and ISI Web of Science (1980 until February 2006) for key words upper limb and prosthesis. Articles focused on upper limb prostheses and addressing: (i) Factors associated with abandonment; (ii) Rejection rates; (iii) Functional analyses and patterns of wear; and (iv) Consumer satisfaction, were extracted with the exclusion of those detailing tools for outcome measurement, case studies, and medical procedures. Approximately 200 articles were included in the review process with 40 providing rates of prosthesis rejection. Quantitative measures of population characteristics, study methodology, and prostheses in use were extracted from each article. Mean rejection rates of 45% and 35% were observed in the literature for body-powered and electric prostheses respectively in pediatric populations. Significantly lower rates of rejection for both body-powered (26%) and electric (23%) devices were observed in adult populations while the average incidence of non-wear was similar for pediatric (16%) and adult (20%) populations. Documented rates of rejection exhibit a wide range of variance, possibly due to the heterogeneous samples involved and methodological differences between studies. Future research should comprise of controlled, multifactor studies adopting standardized outcome measures in order to promote comprehensive understanding of the factors affecting prosthesis use and abandonment. An enhanced understanding of these factors is needed to optimize prescription practices, guide design efforts, and satiate demand for evidence-based measures of intervention."
A preliminary protocol for prescribing upper limb prostheses,Petcharatana Bhuanantanondh,https://www.semanticscholar.org/paper/85e3384bccfce2d0b24cc0dbff32faac435ab0c0,,2012,"Selecting an appropriate prosthesis is a complex process. To the best of our knowledge, to date there is no standard prescription protocol for upper limb prostheses. Thus, the primary objective of this study was to propose a prescription protocol for upper limb prostheses.
To understand more about the properties of the prosthetic terminal device; frictional properties of the contact surfaces between terminal devices and the grasped object, and the effect of loading rates on the frictional properties of the terminal devices were evaluated. The results showed that metal is better gripped by the body-powered hook than by the myoelectric hand; whereas plastic and wood are better gripped by the myoelectric hand than by the body-powered hook. In addition, as loading rate increases, the friction coefficient decreases.
With regard to the prescription protocol for upper limb prostheses, this study proposed a prescription protocol that not only contains comprehensive information, but also proposed a scoring system to assist in selecting an appropriate prosthesis. The scoring system was developed by factorial survey approach. Five factors affecting the type of upper limb prosthetic device were selected for vignette constructions. Twenty upper limb prosthetic experts were involved in this study. Each participant was asked to rate 20 vignettes regarding the appropriateness in selecting a myoelectric prosthesis for an individual with upper limb amputation. The findings from the factorial survey analysis suggested that “work condition” is the most critical factor that influences the judgments of the upper limb prosthetic experts in making the selection of prosthetic devices for both trans-radial and trans-humeral amputation. The proposed scoring system was also evaluated for its effectiveness. The study suggests that the proposed scoring system may be improved as a tool to assist in the selection of an appropriate prosthetic device. 
In conclusion, this study suggested that the frictional coefficients of the terminal devices and the grasped objects are dependent on the material and the loading rate. “Work condition” is a key factor in selecting an appropriate prosthesis for the upper limb amputee, and a systematic evaluation of an amputee’s condition is useful in selecting an appropriate prosthetic device."
AJPMR_220504 245..253,,https://www.healthquality.va.gov/guidelines/Rehab/ULA/Management_of_Upper_Limb_Amputation10Artical.pdf,,2023-01-23,
New developments in prosthetic arm systems,"I. Vujaklija, D. Farina, O. Aszmann",https://www.semanticscholar.org/paper/3a6d34c78fd5f0d2c0c69cbe753d7fa1e6b75f25,,2016,"Absence of an upper limb leads to severe impairments in everyday life, which can further influence the social and mental state. For these reasons, early developments in cosmetic and body-driven prostheses date some centuries ago, and they have been evolving ever since. Following the end of the Second World War, rapid developments in technology resulted in powered myoelectric hand prosthetics. In the years to come, these devices were common on the market, though they still suffered high user abandonment rates. The reasons for rejection were trifold – insufficient functionality of the hardware, fragile design, and cumbersome control. In the last decade, both academia and industry have reached major improvements concerning technical features of upper limb prosthetics and methods for their interfacing and control. Advanced robotic hands are offered by several vendors and research groups, with a variety of active and passive wrist options that can be articulated across several degrees of freedom. Nowadays, elbow joint designs include active solutions with different weight and power options. Control features are getting progressively more sophisticated, offering options for multiple sensor integration and multi-joint articulation. Latest developments in socket designs are capable of facilitating implantable and multiple surface electromyography sensors in both traditional and osseointegration-based systems. Novel surgical techniques in combination with modern, sophisticated hardware are enabling restoration of dexterous upper limb functionality. This article is aimed at reviewing the latest state of the upper limb prosthetic market, offering insights on the accompanying technologies and techniques. We also examine the capabilities and features of some of academia’s flagship solutions and methods."
