Title,Authors,URL,DOI,Published Date,Summary
Upper Limb Prosthesis: A Functional Replacement for the Biological Limb?,A. Schacter,https://www.semanticscholar.org/paper/a9714d1bc17be2c6e21500173ffacd2d221c48be,,2017,"Introduction In 2005, there were 1.6 million amputees residing in the US, with that number expected to double by the year 2050. Of that number, 41,000 people live with major upper extremity limb loss (Ziegler-Graham, et. al. 2008). The loss of a limb is a devastating experience but an amputee’s quality of life can be dramatically improved with the use of a prosthetic device. Creating a truly functional prosthetic has been, and continues to be, a tremendous challenge. The importance of providing patients with advanced prosthetics and thereby enabling them to function normally can’t be understated. This is especially true for upper limb amputees (ULAs) who are severely inhibited in accomplishing even simple everyday activities. For example, transhumeral amputees require a prosthetic device that can provide full function of the elbow, wrist, and hand. The objective of this paper is to familiarize the reader with the current prosthetic technology, as well as discuss the areas where further advancements are required in order to equip transhumeral amputees with the full range of motion, sensory input, and practicality of a true biological limb."
PROSPECTS FOR CREATING A HYBRID CONTROL SYSTEM FOR PROSTHESES: A REVIEW,"Ali Mirdan Samandari, Andrey N. Afonin",https://www.semanticscholar.org/paper/655fb9ff024dae500d9040c8d38ad6c2087ad909,,2024,"Background. Facilitating the adaptation, physical rehabilitation and preparation for prosthetics of people who have lost a body part is of great importance for finding new opportunities and alternatives to modern limb prostheses. Bionic prosthetics can significantly improve the quality of life of people with disabilities, ensuring the maximum possible restoration of motor functions. However, controlling such prostheses is very challenging. The most commonly used control systems today: electroencephalography (EEG), electromyography (EMG) and near-infrared functional spectroscopy (fNIRS) (When used independently), are unable to become control systems due to their inherent shortcomings. Likewise, this review sheds light on the future prospects of creating a hybrid system, which may be a promising system for controlling prosthetic limbs. Materials and methods. Several studies have been conducted to systematically review published articles to provide researchers and experts with meaningful information about current state-of-the-art control methods used in prosthetic arms. Results. The 109 articles studied are closely related to the research and confirm the idea of creating a hybrid prosthetic control system. Conclusions. The review consists of three axes. The first axis is designed to collect, summarize and evaluate information from relevant studies published over the past decade. The second axis represents important results of previous experiments conducted within the framework of current research, and records of experimental results, both autonomous and hybrid methods. This research is conducted systematically to provide all experts and scientists with a complete picture and scientific evidence of prosthetic treatment methods. The third axis defines a wide area of knowledge that requires further study, recommendations and guidelines for future research, since hybrid systems for prosthetics management scenarios or rehabilitation and restoration of lost functions are still not used in practice, and this serves as an incentive for future research to find a hybrid and integrated management system (hardware and software) for prosthetics or rehabilitation and restoration of lost functions."
"Introductory Chapter: Past, Present, and Future of Prostheses and Rehabilitation","Shanthini Madhanagopal, Martin K. Burns, Dingyi Pei, Rohan Mukundhan, Helen Meyerson, R. Vinjamuri",https://api.intechopen.com/chapter/pdf-download/69806.pdf,,2020,"A prosthesis is defined as “...a device attached to the stump of an amputated body part due to traumatic or congenital conditions...” [1]. Prostheses have evolved over the past centuries, starting with a wooden toe to the highly mechanized robotic limbs of today. The evolution of prosthesis started in the Egyptian period during which wood was used as a replacement for a missing toe, coconut shell was used as a dental implant, and various other materials were used as an alternative to different body parts. There are various types of prostheses depending on the body part being replaced. These include upper and lower limb (LL) prostheses, neural prostheses (NP), retinal prostheses, maxillofacial prostheses, and various other types. Each prosthesis is designed and assembled based on the person’s physical appearance, functional needs, and affordability [2–7]. The history of lower limb prosthesis is outlined in Table 1. This is a summary of our findings from [8, 9]. Amputations are estimated to occur between 300 and 500 times per day, leading to an increased usage of prostheses [10]. With increased need there are various factors which impact prosthesis usage, including whether the amputation is unilateral or bilateral, the time duration between amputation and prosthetic fitting, type of prosthesis used, physical health factors such as phantom-limb pain, and the psychological impact of amputation such as perception of symptoms, self-efficiency, balance confidence, treatment cost, and time taken to adapt to the prosthesis. The quality of life post-rehabilitation does not solely depend on the abovementioned factors but also includes functional utility and satisfaction over time. Improvements in quality of life are possible with recent innovations in design tools, materials, and different types of manufacturing, aiding in customizing prosthesis according to patient needs [11]. Novel rehabilitation methods, different types of prostheses, their limitations, and recent advancements will be discussed in this chapter."
"Emerging Frontiers in Robotic Upper-Limb Prostheses: Mechanisms, Materials, Tactile Sensors and Machine Learning-Based EMG Control: A Comprehensive Review","Beibit Abdikenov, Darkhan Zholtayev, Kanat Suleimenov, Nazgul Assan, Kassymbek A. Ozhikenov, Aiman Ozhikenova, Nurbek Nadirov, Akim Kapsalyamov",https://www.mdpi.com/1424-8220/25/13/3892/pdf?version=1750737273,,2025,"Hands are central to nearly every aspect of daily life, so losing an upper limb due to amputation can severely affect a person’s independence. Robotic prostheses offer a promising solution by mimicking many of the functions of a natural arm, leading to an increasing need for advanced prosthetic designs. However, developing an effective robotic hand prosthesis is far from straightforward. It involves several critical steps, including creating accurate models, choosing materials that balance biocompatibility with durability, integrating electronic and sensory components, and perfecting control systems before final production. A key factor in ensuring smooth, natural movements lies in the method of control. One popular approach is to use electromyography (EMG), which relies on electrical signals from the user’s remaining muscle activity to direct the prosthesis. By decoding these signals, we can predict the intended hand and arm motions and translate them into real-time actions. Recent strides in machine learning have made EMG-based control more adaptable, offering users a more intuitive experience. Alongside this, researchers are exploring tactile sensors for enhanced feedback, materials resilient in harsh conditions, and mechanical designs that better replicate the intricacies of a biological limb. This review brings together these advancements, focusing on emerging trends and future directions in robotic upper-limb prosthesis development."
Literature Review on Needs of Upper Limb Prosthesis Users,"F. Cordella, A. Ciancio, R. Sacchetti, A. Davalli, A. Cutti, E. Guglielmelli, L. Zollo",https://www.frontiersin.org/articles/10.3389/fnins.2016.00209/pdf,,2016,"The loss of one hand can significantly affect the level of autonomy and the capability of performing daily living, working and social activities. The current prosthetic solutions contribute in a poor way to overcome these problems due to limitations in the interfaces adopted for controlling the prosthesis and to the lack of force or tactile feedback, thus limiting hand grasp capabilities. This paper presents a literature review on needs analysis of upper limb prosthesis users, and points out the main critical aspects of the current prosthetic solutions, in terms of users satisfaction and activities of daily living they would like to perform with the prosthetic device. The ultimate goal is to provide design inputs in the prosthetic field and, contemporary, increase user satisfaction rates and reduce device abandonment. A list of requirements for upper limb prostheses is proposed, grounded on the performed analysis on user needs. It wants to (i) provide guidelines for improving the level of acceptability and usefulness of the prosthesis, by accounting for hand functional and technical aspects; (ii) propose a control architecture of PNS-based prosthetic systems able to satisfy the analyzed user wishes; (iii) provide hints for improving the quality of the methods (e.g., questionnaires) adopted for understanding the user satisfaction with their prostheses."
The Evolution of Upper Limb Prosthetic Socket Design,Christopher Lake,https://www.semanticscholar.org/paper/a132d0380d69656eb2fa3a6925a9cc1af9015148,,2008,"Well thought out socket designs and careful consideration of residual limb presentation set the stage for patient success—maximizing range of motion, providing stability throughout daily activities, and comfortably distributing the forces exerted on the residual limb during movement and suspension. In contrast, poor socket design will often drive people to abandon the prosthesis because many patients have an intact arm or hand. The foundation for all prosthetic procedures is a well designed and considerate prosthetic socket. The purpose of this article is to shed light on the many variables behind the evolution of upper limb socket design. Review of historical literature reveals two distinct and major influences—material science and the emerging upper limb prosthetic specialist."
New developments in prosthetic arm systems,"I. Vujaklija, D. Farina, O. Aszmann",https://www.semanticscholar.org/paper/3a6d34c78fd5f0d2c0c69cbe753d7fa1e6b75f25,,2016,"Absence of an upper limb leads to severe impairments in everyday life, which can further influence the social and mental state. For these reasons, early developments in cosmetic and body-driven prostheses date some centuries ago, and they have been evolving ever since. Following the end of the Second World War, rapid developments in technology resulted in powered myoelectric hand prosthetics. In the years to come, these devices were common on the market, though they still suffered high user abandonment rates. The reasons for rejection were trifold – insufficient functionality of the hardware, fragile design, and cumbersome control. In the last decade, both academia and industry have reached major improvements concerning technical features of upper limb prosthetics and methods for their interfacing and control. Advanced robotic hands are offered by several vendors and research groups, with a variety of active and passive wrist options that can be articulated across several degrees of freedom. Nowadays, elbow joint designs include active solutions with different weight and power options. Control features are getting progressively more sophisticated, offering options for multiple sensor integration and multi-joint articulation. Latest developments in socket designs are capable of facilitating implantable and multiple surface electromyography sensors in both traditional and osseointegration-based systems. Novel surgical techniques in combination with modern, sophisticated hardware are enabling restoration of dexterous upper limb functionality. This article is aimed at reviewing the latest state of the upper limb prosthetic market, offering insights on the accompanying technologies and techniques. We also examine the capabilities and features of some of academia’s flagship solutions and methods."
Upper Extremity Prosthesis — What Is New in It?,"S. Gafoor, M. Raj",https://www.semanticscholar.org/paper/c71c6bef92fb1154896d7a74391ab305e5bee869,,2016,"Over the past 40 years, technology has dramatically affected the field of upper limb prosthesis. With improvement in the electronics industry, along with advances in the miniaturisation and mass production of electronic components, myoelectrically controlled prosthesis has become reliable and widespread in their use. Compared to lower extremity amputees, the acceptance of prosthetic replacement is less in upper extremity amputees. This may be due to different factors like functional needs, cosmetic factors, motivation of the patient, inadequate training following conventional prosthetic fitment, etc. More and more developments are going on in upper limb extremity prosthesis which will fulfill the need of the upper limb amputees. Such developments ensure better rehabilitation though cost is a limiting factor. This article is an earnest attempt to review the recent trends in upper limb prosthetics."
Upper Extremity Prosthetic Technology and Care,Ryan V. Blanck,https://link.springer.com/content/pdf/10.1007/s40141-014-0066-x.pdf,,2014,"Significant advances in upper extremity prosthetic care and technology over the last decade have provided clinicians and their patients increased options for treatment and the potential for greater overall functionality. There has been unprecedented focus to the care, research, and technology of the upper extremity amputee in a relative short period of time. Service members injured in OIF/OEF receiving care for complicated upper extremity amputations have intensified the efforts to improve socket design, interfaces, suspension, and myoelectric function with multiple degrees of freedom as surgical advancement that optimize the intuitive function of the higher level upper extremity amputee. Academic and Government based research groups such as RIC under Dr. Todd Kuiken as well as DARPA and others have generated great interest in the area of surgical advancements coupled with advanced technology. These advanced technologies and unique surgical interventions are intended to provide patients with more intuitive function with myoelectric prostheses along with various advancing technologies of elbow, wrist and shoulder systems. Pattern grasp recognition using and array emg systems for more consistent operation of these advanced robotic technologies is one example that was directly generated from these efforts (Kuiken, Targeted muscle reinnervation a neural interface for artificial limbs, 2014; Dhillon, IEEE Trans Neural Syst Rehabil Eng 13:468–72, 2005). The increased availability of terminal devices with increased functional grasp patterns and conforming grips have provided patients options for more natural functionality of the myoelectric prosthesis for all levels. With all of these advancing technologies the understanding of optimized upper extremity amputee patient care is more important than ever before. Prior to utilization of these advanced technologies each respective clinician involved in the process must have a firm grasp of the protocols for a well-developed upper extremity plan of care for any patient. A well-educated and experienced clinical understanding for this particular patient group is vital to future success of the patient. Appropriate incorporation of optimized prosthetic design, patient education with a comprehensive team approach coupled these advanced technologies can prove challenging and require a well-designed and intentional method of patient care."
Upper Limb Prostheses by the Level of Amputation: A Systematic Review,"Diego Segura, Enzo Romero, Victoria E. Abarca, Dante A. Elías",https://www.mdpi.com/2673-1592/6/2/22/pdf?version=1710818539,,2024,"This review article aims to provide an updated and comprehensive overview of the latest trends in adult upper limb prostheses, specifically targeting various amputation levels such as transradial, transmetacarpal, transcarpal, and transhumeral. A systematic search was conducted across multiple databases, including IEEE Xplore, MDPI, Scopus, Frontiers, and Espacenet, covering from 2018 to 2023. After applying exclusion criteria, 49 scientific articles (33 patents and 16 commercial prostheses) were meticulously selected for review. The article offers an in-depth analysis of several critical aspects of upper limb prostheses. It discusses the evolution and current state of input control mechanisms, the number of degrees of freedom, and the variety of grips available in prostheses, all tailored according to the level of amputation. Additionally, the review delves into the selection of materials used in developing these prostheses and examines the progression of technology readiness levels. A significant focus is also placed on the evolution of prosthesis weight over the years for different amputation levels. Moreover, the review identifies and explores critical technological challenges and prospects in upper limb prostheses. Finally, the article culminates with a conclusion that encapsulates the key findings and insights on the advancements and ongoing developments in this field."
