Title,Method,Product Type,Population,Measurements Used,Study Design,Key Findings,Year,Journal Source,Quality Level
The Current State of 3D-Printed Prostheses Clinical Outcomes: A Systematic Review[1],"Methods reported include 3D scanning and digital design workflows, 3D printing/additive manufacturing, photograph-based distance measurements with ImageJ scaling, manual anthropometry (tape measure, skinfold caliper, goniometer), CAD/3D modeling, and comparative analysis of digitally versus manually designed sockets[1]","Upper-limb prostheses (3D-printed hands, wrist-driven and myoelectric devices) and lower-limb prostheses (including sockets and amphibious designs)[1]","Combined sample across included studies: 177 participants (various ages and amputation levels reported in individual studies, e.g., trans-radial, partial hand, trans-tibial)[1]","Measurements used include photograph-based linear measurements calibrated with a ruler, direct anthropometry (circumferences, skinfolds), range of motion, strength testing, socket geometric measures (volume, height) and patient-reported Socket Comfort Scores[1]","Systematic review summarizing included primary studies of mixed designs: cross-sectional, prospective cohort, comparative, observational, pilot and feasibility studies[1]","3D-printed prostheses can enhance personalization, fit, comfort, and satisfaction; digital/photograph-based sizing can be accurate and enable remote fitting; digital sockets differ geometrically from manual casts and are often preferred by users, but evidence is limited by small sample sizes and variable quality[1]",2025[1],Journal of Functional Biomaterials (J. Funct. Biomater.) [1],Overall evidence quality: Mostly moderate/low (majority rated 'fair'; one 'good'; one 'poor')[1]
Antropometric Based Optimization Of Wheelchair Design For Enhanced User Ergonomics[2],"Anthropometric data collection and analysis using manual anthropometry (implied), with statistical analysis including data normality test, data uniformity test, data sufficiency test, and percentile calculation to determine design criteria[2]",Wheelchair (assistive mobility device)[2],Elderly wheelchair users; sample size and age range not specified in source. The study reports significant variation in anthropometric dimensions among users[2],"Seat width, backrest height, footrest position; specific anthropometric landmarks or exact measurements not provided in text[2]",Observational study with anthropometric data collection and statistical analysis to derive percentile-based design criteria (procedure described in methods)[2],"Anthropometric-based adjustments (seat width, backrest height, footrest) produced prototype improvements in pressure distribution and sitting posture and yielded design criteria better matching elderly ergonomic needs[2]",2025[2],Universitas Ahmad Dahlan Public Health Conference Proceeding[2],"Moderate: study applies statistical anthropometric analysis and prototype testing with reported improvements, but full details on sample size and experimental rigour are not provided in the source text[2]"
Topologically Optimized Anthropomorphic Prosthetic Limb: Finite Element Analysis and Mechanical Evaluation Using Plantogram-Derived Foot Pressure Data[3],3D scanning of an actual foot using an Artec Eva scanner; use of plantogram-derived foot pressure data to set boundary/loading conditions; Finite Element Analysis (explicit dynamics) for static and dynamic simulation and topology optimization; fabrication/testing of TPMS gyroid lattice specimens via SLS additive manufacturing and mechanical compression/loading-unloading tests to measure energy absorption and damping[3],Prosthetic foot / lower limb prosthetic[3],Plantogram data from a single male basketball athlete (75 kg) used for loading conditions; informed consent obtained[3],"Plantogram foot pressure contours and derived regional dimensions (metatarsal, calcaneus) for ROI and loading; stress values from plantogram (pressure) and FEA stress/strain outputs; 3D scan geometry of a male foot to derive anthropomorphic shape[3]",Experimental/engineering study combining computational FEA simulations and laboratory mechanical testing of fabricated specimens informed by empirical plantogram data[3],A gyroid TPMS anthropomorphic prosthetic foot (40% relative density) matched plantogram-derived loading and showed unified stress distribution; TPU-GTR composite with gyroid lattice provided adequate energy absorption and damping (loss factor ~0.18) suitable for dynamic loads; minimum functional relative density estimated ~33% from scaling laws[3],2025[3],Biomimetics[3],"Moderate: engineering experimental study with FEA and lab tests supporting design decisions, but limited external validity due to use of plantogram data from a single athlete and no shared datasets[3]"
Applying 3D Scanning and Printing Techniques to Produce Upper Limb Prostheses: Bibliometric Analysis and Scoping Review[4],"Uses 3D scanning and 3D printing workflows: surface capture with commercial 3D scanners, CT scanning, and photogrammetry to collect geometry; CAD/model adjustment and 3D printing (FDM, SLS, SLA) for fabrication; bibliometric and qualitative analysis of methods across studies[4]","Upper limb prostheses (arm, hand, finger)[4]","Studies synthesized from literature (n=274 papers); populations across included studies vary and include patients, children, and people with upper-limb deficiency but specific sample sizes per study are not provided in this source[4]","Body geometry capture (external surface meshes) via CT, commercial optical 3D scanners, and photogrammetry; measurements for socket/shape/size, and parameters for scaling/parameterizing open-source designs. Specific anthropometric landmarks/dimensions not enumerated in this source[4]",Scoping review (bibliometric analysis and qualitative synthesis) of published literature following PRISMA-ScR[4],"3D scanning/printing enable faster, more customizable, and lower-cost production of upper-limb prostheses; trends include increased use of scanners, focus on finger mechanisms, control/sensing advances, and accessibility via open-source designs. Scanning methods (CT, optical scanners, photogrammetry) offer alternatives to casting but have limitations capturing nuanced features affecting fit[4]",2025[4],MDPI (proceedings/journal PDF provided) — full citation not explicitly stated in source; original PDF URL: https://www.mdpi.com/2673-1592/7/2/26/pdf?version=1740996517[4],"Moderate: systematic scoping review with large literature inclusion (n=274) and PRISMA-ScR methods, but limitations include heterogeneity of included studies, variable reporting of primary-study methods, and exclusion of non-English and proprietary sources[4]"
Methods to assess lower limb prosthetic adaptation: a systematic review[5],"Predominant methods reported: mobility evaluation, gait analysis, measurement of physical variables, and stability assessment (including functional tests and self-report questionnaires)[5]",Lower limb prosthetic devices[5],Studies of people with lower limb amputation (various samples aggregated in review); specific sample sizes vary by included study — review covers studies published 2011–2023[5],"Measurements include residual limb characterization and interface/socket variables, mobility and functional test scores, gait parameters, and physical variables related to stump/socket interface[5]",Systematic review of studies published 2011–2023[5],Mobility evaluation is the primary predictor of prosthetic fitting; functional tests and self-report questionnaires are the most widely used methods; laboratory-specific methods for measuring specific variables are less implemented in clinical practice and should be adapted for clinical use[5],2025[5],Journal of NeuroEngineering and Rehabilitation (J Neuroeng Rehabil)[5],Moderate (systematic review synthesizing multiple studies; quality depends on included studies—review methodology reported but primary-study heterogeneity limits strength)[5]
METHOD FOR CREATING A DIGITAL ATLAS OF 3D MODELS OF HUMAN ANATOMY FOR PROSTHETICS[6],"Describes automated digital methods: conversion of DICOM (DCM) CT/MRI scans and 3D scans to 3D models using Python scripts and PyVista, file-format unification (STL/OBJ/BLEND), text-based model search and API-driven requests for model adaptation and export for 3D printing[6]","Prosthetic devices (reference limb models, prosthetic limbs, implants)[6]",Not mentioned in source.,"Specifies storage and use of 3D anatomical characteristics and models derived from CT/MRI DICOM data and 3D scans (mesh formats STL/OBJ), but does not list specific anthropometric landmarks or numerical body dimensions[6]",Methodological/technical development paper describing a system and proposed methodology (development study)[6],"Presents that an integrated digital atlas and automated conversion pipeline can improve 3D reconstruction accuracy, simplify prosthesis design workflows, enable adaptation of reference models to individual anatomy, and streamline export for 3D printing and clinical use[6]",2025[6],Pratsi (institutional/technical journal) — PDF available from pratsi.op.edu.ua[6],Moderate — technical/method development paper describing system architecture and implementation; lacks reported empirical validation on sample populations or quantitative user studies[6]
EVALUATION OF OFFICE CHAIR DESIGN FROM ERGONOMIC AND ANTHROPOMETRIC PERSPECTIVES[7],Collected seated anthropometry (11 parameters) and subjective Nordic Body Map questionnaire; statistical analysis including normality tests and percentile calculations (P50/P95) to perform mismatch analysis and percentile-based redesign of chair dimensions[7],office chair (workplace seating)[7],"32 employees (16 men, 16 women), age 24–42 years, employees of Politeknik Industri Furnitur dan Pengolahan Kayu Kendal[7]","Seated anthropometric measures: popliteal height; buttock-popliteal length; shoulder width; hip width; shoulder height; eye height; seated erect height; seat-to-knee height; buttock-to-knee length; buttock-to-elbow height; backrest inclination angle. Used biomechanical ratios (e.g., seat height vs. popliteal height, seat depth vs. buttock-popliteal length) for mismatch criteria[7]",Observational ergonomic study combining cross-sectional anthropometric measurements and questionnaire-based discomfort assessment; followed by design redesign (applied ergonomics) using percentile-based analysis[7],"Found severe anthropometric mismatch (seat height 100%; seat depth 94% men, 88% women) and recommended redesign reducing seat height by 30 mm and seat depth by 66 mm; redesigned dimensions align with national and international ergonomic standards, expected to reduce discomfort[7]",2025[7],E-Journal of Ganesha Technopolis (?) — source is an e-journal entry available at the provided URL. Title and repository given in source metadata[7],Moderate — observational study with a small sample (n=32) using systematic anthropometric methods and applied redesign; limited by sample size and lack of extensive usability validation[7]
Evaluation of Office Chairs to Enhance Comfort and Reduce Musculoskeletal Risk in Sedentary Work Environments[8],"Used workforce-specific anthropometric measurements (seat height, seat depth, backrest height, armrest positioning) to redesign chair dimensions; evaluated application with observational ROSA assessments and statistical analysis (paired-sample t-test) to assess ergonomic impact[8]",Office chair (furniture seating)[8],Polytechnic employees; sample size N=32; age 17–61 years; mixed gender (60% female); heights 155–185 cm[8],"Anthropometric dimensions: seat height (popliteal height), seat depth, backrest height (shoulder height), armrest positioning; demographic measures: height, weight, BMI[8]","Mixed-methods observational intervention (pre-post within-subject trial) with quantitative ROSA assessments, surveys/interviews, and paired-sample t-test analysis[8]","Redesigned chair based on anthropometric data significantly reduced ergonomic risk (ROSA mean 7.03 -> 5.19; mean difference 1.84; paired t-test T=-9.98, p=0.000). Authors note dimensional changes improve fit but recommend adding adjustable features for broader accommodation[8]",2025[8],"Journal with e-ISSN 2714-7010, Vol.6 No.2, April 2025[8]","Moderate: small sample (N=32) and within-subject pre-post design with objective ROSA measures and statistical testing support findings, but limited generalizability and single-site context[8]"
Methods to assess lower limb prosthetic adaptation: a systematic review[9],"Systematic review extracting and synthesizing methods reported across studies: literature search and PRISMA screening, data extraction into categories (variables, instruments, conclusions), and critical appraisal. Reported anthropometric/measurement methods in included studies: manual measurements, residual limb volume measurement and accommodation, 3D scanning, pressure sensors, motion capture, instrumented surfaces, alignment tools, specialized software, questionnaires and functional tests[9]",Lower-limb prosthetic devices (transtibial and transfemoral sockets and components)[9],"Studies included varied populations across the literature; the review synthesized 48 papers on residual limb measurements in people with lower-limb amputation (various ages, amputation levels transtibial and transfemoral) and publication dates 2011–2023[9]","Residual limb measurements: limb volume and shape, distances, interface pressure, socket air pressure, temperature, ground reaction forces, angular momentum; measurement techniques include 3D scanning, optical scanners, pressure sensors, instrumented surfaces, motion capture, and automated socket sizing systems[9]","Systematic review (synthesis of 48 included studies spanning experimental, observational, case studies, and technical briefs)[9]",Key findings: mobility and functional tests are the most-used predictors of prosthetic adaptation; questionnaires dominate instruments but are subjective; volume/shape measurements (via 3D scanning/optical scanners) and pressure/force measures provide objective design-relevant data; many tools lack prosthesis-specific validation; recommendation to combine objective measurements with functional and self-report measures and to integrate advanced tools into clinical practice to improve fitting and design implications[9],2025[9],Journal of NeuroEngineering and Rehabilitation[9],"Moderate: systematic-review level synthesis but many included studies had small/heterogeneous samples, non-randomized designs, and measurement limitations, reducing overall evidence strength[9]"
"OpenLimbTT, a transtibial residual limb shape model for prosthetics simulation and design: creating a statistical anatomic model using sparse data[10]",Statistical Shape Model (SSM) construction from MRI/CT volume imaging and segmented surface meshes; mesh registration using non-rigid ICP; size-normalisation to estimated full tibia length; Principal Component Analysis (PCA) to extract modes of variation; prediction methods: Gappy POD/pseudo-inverse and linear regression to predict internal bone geometry from external skin scans; cross-validation via Leave-One-Out testing[10],Transtibial residual limb / prosthetic socket design and prosthetic limb biomechanics[10],"Primary imaging sources comprised 33 MRI/CT scans combined; core MRI subject set described as 11 transtibial amputee participants, with the final SSM training set reduced to 10 after outlier exclusion; participants varied in amputation causes, age and time since amputation (not fully enumerated)[10]","Segmented 3D anatomical surface meshes (skin and internal bones: tibia, fibula, patella, distal femur); size normalisation using estimated full tibia length; PCA mode scores quantifying amputation height, soft tissue bulk (slender–bulbous), and regional tissue distribution; quantitative error metrics (RMSE of surface deviations) reported for reconstruction and prediction[10]",Methodological/observational study developing and validating a Statistical Shape Model using MRI/CT datasets with Leave-One-Out cross-validation (SSM development and evaluation)[10],SSM can predict internal bone geometry from external skin scans with median bone-prediction RMSE ≈6.5 mm using linear regression; dominant shape variance is amputation height (~82%) and soft tissue bulk (~7.5%); model reconstruction RMSEs for left-out shapes ranged ~4.8–8.9 mm; provides a shared open-access dataset/model to support prosthetic socket design and simulation[10],2024[10],medRxiv preprint (full text available at provided medRxiv URL)[10],"Moderate-to-low: methodological advance but limited by small training dataset (SSM trained on n≈10 after outlier exclusion), validated with LOO cross-validation—useful proof-of-concept but requires larger, more diverse data for high confidence[10]"
