Role Concept,Title,Authors,Year,Source Journal Book,Paper Type,Key Frameworks Methods,Design Focus,Doi Link
Co-design methods for including people with disability in health communication interventions,Methods for Co-designing Health Communication Initiatives with People with Disability: A Scoping Review,Kelsey Chapman; Connie Allen; Elizabeth Kendall,2025,Not mentioned in source.,Review,Scoping review of co-design methods; identifies methods used at different stages and recommends transparency/consistency in reporting co-design processes,Co-design,https://doi.org/10.1080/10810730.2025.2462679
Gender-sensitive considerations in assistive technology (AT) design and provision,Outcomes of assistive technology use by sex and gender; a scoping review,Elizabeth Mc Guinness; Dilisha Patel; Mikaela Patrick; Victoria Austin,2025,Not mentioned in source.,Review,Scoping review using narrative synthesis informed by the socio-ecological model,Inclusive Design,Not mentioned in source.
System-level challenges and strategies for development/diffusion of assistive technologies (AT) that promote inclusion and well-being,Challenges and strategies for the development and diffusion of assistive technologies,J. W. Lourenço; Paulo Alexandre Correia de Jesus; Jones Luís Schaefer; Osíris Canciglieri Junior,2025,Not mentioned in source.,Review,Systematic Literature Review (RSL) as primary methodological approach,Inclusive Design,Not mentioned in source.
"Disability-led inclusive design theory foregrounding “disability jugaad” (embodied, improvisational interventions) and participatory approaches",Somaesthetic Socio-Cultural Design for Disability: Rethinking Body Marginality,Jonathan Ventura; Shilpa Das,2025,Not mentioned in source(s).,Theoretical,Disability jugaad; somaesthetics; value-oriented design; emphasizes co-design/participatory design as crucial,Inclusive Design,https://journals.aau.dk/index.php/JOS/article/download/10586/8531
"Inclusive design for health technologies for users facing limitations (e.g., accessibility for people with disabilities)",Design of health technologies for users facing limitations: A scoping review,Emanuele König-Klever; Patricia Raquel Bohn; C. Libânio; F. Fogliatto; L. Tonetto,2024,Not mentioned in source.,Review,Uses accessibility fundamentals recommended by the Web Accessibility Initiative (WAI) as an analytical starting point,Inclusive Design,Not mentioned in source.
Adoption of mobility assistive products; highlights empowerment and incorporating user-centred design considerations in uptake,Understanding adoption of mobility assistive products: a systematic review,Emily Gleaton; Robert Kistenberg; Lucas E. Provine; Christopher W. Wiese,2024,Not mentioned in source.,Review,Thematic analysis yielding four overarching themes; advocates more inclusive research design methodologies relevant to assistive products,User-Centred Design,Not mentioned in source.
"Shift from assistive toward inclusive technologies to support people with pervasive support needs, assessing effects on quality of life (QoL)",From assistive to inclusive? A systematic review of the uses and effects of technology to support people with pervasive support needs.,Lotte Piekema; Annet Ten Brug; A. Waninge; A. V. D. van der Putten,2024,Journal article (Wiley Online Library PDF link available),Review,PRISMA-based systematic review; uses QoL (sub)domains (Schalock et al.) and ISO 9999:2022 classification for assistive products; discusses technology based on universal design (UD) principles,Universal Design,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jar.13181
Integrating systems analysis with user-centred design to engage stakeholders and improve pre-surgical care pathways,INTEGRATING SYSTEMS AND DESIGN THINKING IN HEALTHCARE: A USER-CENTRED PERSPECTIVE,Christopher Pandolfi; Xavier Massé; Ana Rita Morais; Yefri Ventura; Marko Cigljarev; Angela Jerath,2024,Not mentioned in source(s).,Empirical,"Systems analysis + user-centred design tools including ecosystem mapping, participatory workshops, journey mapping, and data visualization artifacts (interactive journey maps, matrices, rose charts)",User-Centred Design,https://doi.org/10.33965/ijcsis_2024190204
Usability and ergonomic design as determinants of user acceptance and preference in medical devices/equipment,Medical Device and Equipment Design,Michael E. Wiklund,2024,Book: Medical Device and Equipment Design,Theoretical,Ergonomic design principles and usability-oriented guidance for medical device and equipment design,User-Centred Design,Not mentioned in source.
User-centred design (UCD) for sustainable health technology: involving end-users throughout development to ensure usability and value,User centered design for the development of health technology: Towards sustainable healthcare systems,Sara S Groos,2023,Not mentioned in source.,Review,"Interdisciplinary overview of UCD methods (communication science, health psychology, marketing, health informatics); methods include personas, think-aloud, prototypes, focus groups; identifies stages where participation is crucial and barriers to participation",User-Centred Design,https://www.semanticscholar.org/paper/907f7b7bc92d8c56425a53d55fe84ab758c4bccc
"Systematic review of how autistic people are involved in design of XR technologies, with roles ranging from contributors to co-designers; proposes an inclusion framework",How are Autistic People Involved in the Design of Extended Reality Technologies? A Systematic Literature Review,Nigel Newbutt; Noah J. Glaser; Marc-Sonley Francois; Matthew Schmidt; S. Cobb,2023,Not mentioned in source(s).,Review,PRISMA; PICo framework; proposes a design framework characterizing autistic inclusion in XR research; defines co-design as users being active participants and equal contributors,Co-design,https://doi.org/10.1007/s10803-023-06130-3
