Title,Authors,Year,Publication Venue,Paper Type,Domain,Conceptual Framework,Key Methods,Human Ai Role,Accessibility
AI-DRIVEN COMPUTER-AIDED DESIGN (CAD) SYSTEMS: LEVERAGING NEURAL NETWORKS FOR OPTIMIZED ENGINEERING PRODUCT DEVELOPMENT,Dr. S. Menaka; Mr. Wasim Raja; S. Ramakrishnan; Dr D. Karthikeswaran; Dr. K. Sridar; Dr. T. Sivaranjani,2025,International Journal of Advanced Manufacturing (IJAM) (conference/journal PDF hosted at ijamjournal.org),Methods/Framework,Engineering Design / Product Design,"Proposes a three-stage AI-driven CAD framework (input-processing-output) integrating generative neural networks with CAD modeling kernels and surrogate model-based multi-objective optimization; closed-loop feedback between neural predictions, CAD updates, and simulation/human feedback.",Generative neural networks; surrogate model-based optimization; Convolutional Neural Networks (CNNs); feedforward networks; LSTM; reinforcement learning; genetic algorithms/Adam optimizer; multi-objective optimization; CAD plugin/API integration; Finite Element Analysis (FEA) for evaluation.,"Human-in-the-loop: AI generates and suggests optimized designs, humans review/select and provide feedback; closed-loop refinement with simulation and designer input ('AI generates, human selects/validates')",Open Access (PDF available at journal website)
Artificial Intelligence-Aided Design (AIAD) for Structures and Engineering: A State-of-the-Art Review and Future Perspectives,Yu Ao; Shaofan Li; Huilin Duan,2025,Archives of Computational Methods in Engineering (Springer),Review,Engineering Design (Structural Design),"Presents an AIAD-based structural design process comprising data preparation, surrogate modeling, and design optimization, and a taxonomy across six domains: shipbuilding, aerospace, automotive, civil, topological, and composite","Machine learning (supervised, unsupervised, semi-supervised, reinforcement learning), deep learning (FCNNs, CNNs), generative models (GANs), graph neural networks, genetic algorithms and NN–GA hybrids, surrogate modeling, topology optimization, Fourier Neural Operator, random forests, support vector regression, and Bayesian/decision-theory methods","AI assists generation and performance prediction, providing surrogate models for fast evaluation; roles include 'AI generates, human selects' and 'Human-in-the-loop' for validation and decision support, emphasizing augmentation rather than full automation",Open Access (Creative Commons Attribution 4.0)
"The Integration of Artificial Intelligence in Engineering Design, Manufacturing, and CAD: A Triangular Revolution of Innovation, Efficiency, and Automation",Isiaka Ibrahim; Parker Thomas; Pratik Adhikari,2025,"Global Journal of Engineering, Technology and Automation (GJETA) (report/PDF)",Review,Engineering Design / Manufacturing / CAD,"Discusses AI's transformative role in design, covering creativity, workflow efficiency, decision-making, trends, and ontological considerations; no formal novel theoretical model proposed","Generative design; topology optimization; supervised/unsupervised/reinforcement learning; CNNs, GANs, 3D-CNNs; physics-informed neural networks (PINNs); computer vision; NLP; predictive analytics; genetic algorithms; reinforcement learning for simulation optimization; explainable AI (XAI)","Predominantly human-in-the-loop / 'AI generates, human selects' — AI automates repetitive tasks and generates alternatives while humans retain oversight and decision-making",Open Access (PDF available from gjeta.com)
Enhancing Creativity and Efficiency in Furniture Design through Human-AI Collaboration,Nidhal Abdulaziz; Mohamed Al Musleh; Vrushali Mhatre; Hamze Hammami,2025,AAAI Student Symposium / AAAI-SS (Association for the Advancement of Artificial Intelligence),Methods/Framework,Product Design / Furniture Design,"Proposes a hybrid human–AI collaborative design framework integrating user-centred design principles, iterative feedback loops, and AI-generated suggestions with AR prototyping to balance automation and human creativity","Generative design; data-driven optimisation; convolutional neural networks; reinforcement learning; AR prototyping; 3D scanning; 3D printing; CAD integration; ergonomic dataset analysis (e.g., ANSUR II); material optimisation","AI acts as a co-creator: AI generates design suggestions and optimisation options while humans provide preferences, selection, and iterative feedback (Human-in-the-loop / AI assists decision-making).",Appears to be open access (PDF available from AAAI conference site).
Artificial intelligence (AI) in the design process – a review and analysis on generative AI perspectives,Mohammad Mohiuddin Choudhury; B. Eisenbart; B. Kuys,2025,ICED25 conference proceedings / Cambridge Core PDF,Review,"General Design (covers Product Design, Architectural, Fashion, Graphics, UX/UI, Furniture)",Not mentioned in source.,"Generative AI (ChatGPT, DALL-E, Midjourney, Stable Diffusion), Generative Design (topology optimization, genetic algorithms), GANs, parametric modelling, hybrid text-visual models, ControlNet, LoRA fine-tuning","Human-AI co-creative: AI generates variants and provides inspiration; human designers select, refine, and make final decisions (AI generates, human selects; human-in-the-loop)",Accessible via Cambridge Core PDF (likely paywalled proceedings; PDF available at URL)
Integrating Artificial Intelligence into Design Thinking: A Comprehensive Examination of the Principles and Potentialities of AI for Design Thinking Framework,H. R. Saeidnia; M. Ausloos,2024,International Scientific Journal of Trends (ISJTrend) / InfoPub,Review,General Design / Product & Service Design (Design Thinking applied across domains),"Proposes a mapping framework integrating AI tools and principles into the stages of design thinking (empathize, define, ideate, prototype, test)",AI-driven data analytics; predictive modeling; sentiment analysis; natural language processing; AI-powered idea generation tools; automated prototyping; A/B testing; AI-driven user testing,"AI augments and assists designers across stages: 'AI analyzes and generates, human interprets and selects' — human-in-the-loop",Open Access (Creative Commons Attribution 4.0 International License)
Exploring the Integration of Artificial Intelligence in Co-Design Framework for Designer,Muhammad Zaffwan Idris; Mohd Ekram Al Hafis Bin Hashim; Nursafinas Albakry; Nandang Septian,2024,EB Proceedings (E-Business and Project Management?),Review,General Design / Co-design,Discusses AI integration into co-design frameworks emphasizing AI as collaborator in creativity and the need to balance AI autonomy with human-centered values; recommends future research on stakeholder interaction and adaptable systems,"Literature review; discusses AI methods including generative design, deep learning, probabilistic modeling, predictive analytics, and NLP","AI as collaborative agent: AI generates options, provides real-time feedback, automates routine tasks while preserving designers' agency (human-in-the-loop)",Open Access (PDF available via journal link)
Computational Intelligence Paradigms in Product Design Engineering: A Comprehensive Review,Atuha Digina Simon,2024,Not mentioned in source.,Review,Product Design,"Reviews five major CI models (artificial intelligence, artificial neural networks, artificial immune systems, swarm intelligence, evolutionary computation) and discusses the role of ontologies for integrating information sources",Artificial intelligence; Artificial neural networks; Artificial immune systems; Swarm intelligence; Evolutionary computation; Ontologies; Data mining; Case-based reasoning; Decision-making algorithms; Hybrid techniques; Qualitative reasoning; Process modeling,"AI methods discussed as assisting and automating product design engineering processes (e.g., decision-making, customization, process modeling); specific human–AI interaction models not described in source.",Not specified
Artificial Intelligence and Seeing The Invisible in Arts – From the Wane of axiality and Symmetry To the Wax of Invisibility and Emptiness,Rasha Said; Abdel Latif; M. Samir; Abou El-Seoud; Khaled Mohamed Dewidar,2024,Not mentioned in source.,Review,Architectural Design,None described,Deep learning; machine learning; computational design tools; generative design approaches,AI assists conceptual design by generating form variations and visualizing future designs (Human-in-the-loop),Not specified
Artificial Intelligence in Architecture: Integration into Architectural Design Process,Nermen M. Matter; Nevine G. Gado,2024,Egyptian Research Journal (ERJ) (from provided URL),Methods/Framework,Architectural Design,Framework mapping seven AI patterns (Hypersonalization; Autonomous Systems; Predictive Analytics & Decision Support; Conversation; Pattern & Anomaly Detection; Recognition; Goal-driven) to stages of the architectural design process,"Generative design (script-based generative tools), genetic algorithms, neural networks/deep learning, evolutionary computation, NLP, reinforcement learning (goal-driven systems), expert systems, knowledge representation, pattern & anomaly detection, predictive analytics and decision support, recognition/computer vision","Human-in-the-loop: AI acts as an assistant that generates alternatives and automates non-creative tasks while architects perform selection, evaluation, and final decisions",Open Access (PDF available at provided URL)
