Source Title,Source Year,Definitions Content,Typologies Content,Clinical Content,Regulatory Content
A narrative review: current upper limb prosthetic options and design,2019,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
The importance of rehabilitation concerning upper extremity amputees: A Systematic review,2016,"This review frames upper limb prostheses in terms of functional restoration: the upper extremity enables daily activities, self-care, hobbies and sports, and prosthetic training is necessary to learn how to use and integrate the prosthesis into daily life [1].",Not mentioned in this source.,"The source reports that prosthetic rehabilitation improves prosthetic use, independence and functional capacity and lists common rehabilitation components: general exercise programs, motor tasks, phantom exercises, muscle training systems, edema control, functional activities, signal strengthening, prosthetic education, neuromuscular reeducation, and virtual reality exercises [1]. It notes limited and heterogeneous evidence with mostly low-quality nonrandomised studies, though one RCT found exercises can alleviate phantom limb pain [1]. The review also mentions training protocols for myoelectric control and the role of osseointegration in changing rehabilitation strategies [1].",Not mentioned in this source.
Technological Advances in Prosthesis Design and Rehabilitation Following Upper Extremity Limb Loss,2020,"Defines upper limb prostheses as devices aimed to recreate function of the complex upper extremity and hand and to restore interaction with the environment, with the purpose of returning patients to durable, high-functioning, independent lifestyles and achieving multi-functional, self-identifiable, durable, and intuitive prostheses [2].","Describes main typologies: passive/cosmetic and body-powered (mechanical cable/harness control) and myoelectric/electronic (EMG-based control), including advances toward pattern-recognition myoelectric control and historical context of powered prostheses [2].","Discusses clinical issues influencing prescription and outcomes: high rates of abandonment linked to discomfort, residual limb pain, and socket-related problems (e.g., sweating, limb volume changes) [2]; describes surgical interventions (TMR, RPNI) to improve control and reduce neuroma/pain [2]; osseointegration as an alternative to sockets improving fit, signal transduction, and function [2]; and rehabilitation/feedback strategies including haptics, VR training, and sensory feedback to improve incorporation and function [2]. ",Not mentioned in source.
Upper Limb Prostheses by the Level of Amputation: A Systematic Review,2024,"The source defines upper limb prostheses as assistive products that help users maintain or improve functioning and independence [3]. It classifies prostheses functionally into active devices, which mechanically replace muscle function by transmitting force [3], and passive devices, which adapt to movement when external force is applied and are often used for aesthetics or postural balance [3].","The source presents a typology distinguishing passive (cosmetic/postural) and active prostheses (requiring power, force transmission, and gripping mechanisms) and describes hybrid systems that combine control methods (e.g., EMG–EEG) [3]. It also notes that surface EMG is the predominant control modality for electronic prostheses and references additional invasive and tendon-based interfaces in the literature review [3].","The source emphasizes clinical considerations: customization and fit depending on injury, stump condition, intended use, and patient characteristics are critical for prescription [3]. Functional outcomes discussed include degrees of freedom, grips/gestures, weight, and TRL-related maturity; sensory feedback (pressure and position) and intuitiveness are highlighted as key determinants of prosthesis use and satisfaction [3]. It also identifies practical challenges such as prosthesis weight and accessibility/cost affecting real-world uptake [3].","The source addresses regulatory/validation context indirectly: it uses Technology Readiness Levels to assess maturity and notes a lack of devices at TRL8 and sparse evidence of certifications or regulatory approvals, indicating challenges in progressing prototypes to market and in providing clinical validation at scale [3]. It also remarks that patents' TRL listings may not reflect real-world maturity without follow-up validation [3]."
A review on the advancements in the field of upper limb prosthesis,2018,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Perceptions of cosmesis and function in adults with upper limb prostheses: a systematic literature review,2011,Not mentioned in source.,Not mentioned in source.,"The review synthesises findings on user perceptions relevant to clinical considerations: user satisfaction with current prostheses, variability in satisfaction across studies linked to demographic differences and ambiguous definitions of cosmesis and function [4]; a general trend for users to prioritise function over cosmesis in design preferences [4]; social implications affecting use, such as desire to appear 'normal' and not 'stand out' which may impact acceptance and rehabilitation outcomes [4]; and the review's recommendation for further research into how constructs of cosmesis and function relate to prosthesis use, which has implications for clinical assessment and prescription [4].",Not mentioned in source.
"The roles of predisposing characteristics, established need, and enabling resources on upper extremity prosthesis use and abandonment",2007,"This source defines the purpose of upper limb prostheses in terms of enabling participation in life activities and achieving personal goals, and frames prosthesis provision as a clinical rehabilitation intervention for physicians, prosthetists, occupational therapists and allied health professionals [5].","The source classifies prostheses into passive (cosmetic), body-powered (conventional hooks), and electric/myoelectric hands, discusses lifestyle-based selection between electrically powered and body-powered devices, and provides comparative rejection/use statistics for passive, body-powered and electric prostheses [5].","The source addresses clinical considerations thoroughly: it emphasizes multidisciplinary rehabilitation (information, fitting, training, follow-up), discusses timing of fitting (early fitting benefits in children; mixed evidence on optimal timing post-amputation), training variability and mixed evidence for effectiveness, importance of follow-up and standardized outcome measures, and psychosocial/family support as critical factors in prescription and rehabilitation [5].",Not mentioned in source.
Analysis of Man-Machine Interfaces in Upper-Limb Prosthesis: A Review,2019,"Defines prostheses as medical devices replacing limbs and notes evolution from purely aesthetic to functional, articulated, controllable devices; distinguishes passive (aesthetic or functional) and active prostheses, and links type to amputation level and user needs [6].","Classifies prostheses into passive (aesthetic, functional) and active. Active subdivided into body-powered (mechanical/cable), electrically-activated including myoelectric (sEMG or implanted), button-controlled, and hybrid systems combining modalities (e.g., EMG, EEG, osseointegration) [6].","Discusses clinical considerations: prescription depends on amputation level; significant training needs and high abandonment rates; importance of reliable signal acquisition (noise, electrode placement) and sensory feedback for function; evidence that somatosensory feedback and closed-loop control improve performance and acceptance (examples cited) [6].",Not mentioned in source.
Prosthetic rehabilitation of the upper limb amputee,2011,"This review frames upper limb prostheses as medical rehabilitation devices intended to compensate for the psychological and physical loss following partial or complete arm amputation, aiming to restore function (fine coordinated movements), sensory aspects ideally (tactile sensation, proprioception), and aesthetic appearance. It emphasises that functional prostheses are built from multiple component elements that together provide restorative functions [7].","The source describes main prosthesis typologies: primarily cosmetic/passive (simple, lightweight cosmetic limbs and silicone cosmetic replacements) [7]; body-powered/cable-controlled devices including split-hook terminal devices and voluntary-opening cable hands [7]; electrically powered prostheses driven by motors with myoelectric control using surface electrodes [7]; and hybrid systems combining mechanical and electrical control elements [7].","The review outlines clinical considerations: a multistage rehabilitation process (pre-surgical planning, postsurgery healing, prosthetic fitting and training, long-term follow-up) [7]; patient selection and decision-making about suitability for prosthetic rehab [7]; importance of training and rehabilitation for successful outcomes [7]; modularity and maintenance considerations affecting long-term use [7]; evidence that properly fitted electric/myoelectric devices can provide accessible function [7]; high abandonment/rejection rates with quantitative figures reported [7]; and multiple personal and social factors influencing outcomes (age, level, dominance, access, cost) [7]. It also stresses managing patient expectations to reduce dissatisfaction [7].",Not mentioned in source.
Literature Review on Needs of Upper Limb Prosthesis Users,2016,"Upper limb prostheses are devices that substitute a missing hand or limb to restore function and/or appearance. They are described as interrupting the natural efferent/afferent closed-loop between brain and limb, and therefore aim to restore motor capability and, where possible, sensory feedback [8].","The source classifies prostheses into passive (cosmetic and functional) and active (body-powered and externally powered). Active externally powered devices are further split into myoelectric (EMG-controlled) and electric (e.g., button-controlled) systems. The review also treats hybrid/advanced interfaces (e.g., pattern recognition, TMR, IMES, neural interfaces) as emerging control approaches within myoelectric/externally powered categories [8].","The source reports clinical considerations including: variability among users requiring individualized prescription of prosthesis, socket, control and training; key functional goals (ADLs like eating, dressing) and desired grasps; limitations of current control strategies (limited DoF control, need for long training, signal degradation) and the importance of sensory feedback for function and acceptance. It emphasizes using objective functional assessments (e.g., Southampton Hand Assessment, Box and Block) and reports user priorities (weight, comfort, appearance, reliability) and abandonment factors [8].",Not mentioned in source.
A review of upper limb pediatric prostheses and perspectives on future advancements,2022,"Defines paediatric upper limb prostheses as prescribed devices for children with below-elbow/transradial deficiencies that include components such as a socket, liner, terminal device (TD), and harness, where the TD may provide grasping function or cosmetic appearance [9]. States purpose: to facilitate performance of daily tasks and promote social integration/mitigate stigma (i.e., improve physical and/or psychosocial functioning) [9].","Classifies prostheses into passive/cosmetic, active (body-powered and myoelectric), and activity-specific devices [9]. Describes body-powered as cable/harness-driven mechanical systems enabling a single grasp/release and often split-hook form, with benefits of light weight, robustness and simple maintenance but limited function [9]. Describes myoelectric TDs as electromechanical hands driven by surface EMG sensors offering muscle-based control, reduced need for harnessing, and often more anthropomorphic form, but with trade-offs (weight, robustness, control noise, battery) [9].","Reports high pediatric device abandonment and mixed evidence for functional benefit: higher abandonment rates in children than adults and studies showing no clinically relevant functional/QoL differences between wearers and nonwearers [9]. Notes clinical factors in prescription and use: psychosocial influences (self-image, social stigma, parental influence), physical functioning limits of devices, trade-offs between function and aesthetics, device weight, harness discomfort, maintenance/cost, growth-related fit issues, and need for training and intuitive control strategies [9]. Cites some evidence that body-powered devices may yield better task performance satisfaction in some cohorts [9].","Notes that clinically prescribed pediatric prostheses differ from experimental/3D-printed devices in that prescribed devices undergo rigorous engineering development and regulatory approvals before commercial availability [9]. Does not provide specific regulatory frameworks, classifications, standards, or safety/validation procedures beyond this distinction."
Update on advances in upper extremity prosthetics.,2011,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Upper limb prostheses for amputations above elbow: A review,2009,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
