Title,Authors,URL,DOI,Published Date,Summary
Prosthesis Options and Management in Upper Extremity Amputation,"Christopher Fink, Yoni Diamond",https://www.semanticscholar.org/paper/3532a770446eb6144ef25a6b0162d1f98b61e0ff,,2023,"Amputation surgery is a life-altering experience, profoundly impacting an individual's ability to perform daily tasks and engage in their chosen activities. Upper extremity prostheses have advanced remarkably, offering diverse solutions to restore functionality and enhance the quality of life for amputees. This article provides a comprehensive examination of the various types of upper extremity prostheses available today, highlighting their unique features, advantages, and limitations. This article categorizes upper extremity prostheses into three main types: body-powered prostheses, myoelectric prostheses, and advanced prosthetic technologies. Passive prostheses are generally designed to replicate the appearance of the missing limb. Body-powered prostheses rely on cables and harnesses for control, offering affordability and durability. Myoelectric prostheses employ electromyography (EMG) signals from residual muscles for intuitive and precise control. Advanced prosthetic technologies, including neural interfaces and 3D printing, are pushing the boundaries of what is possible in terms of functionality and customization. This article aims to serve as a valuable resource for upper extremity surgeons to help guide options and even optimize surgical plans to allow individuals to maximize the use of upper extremity prostheses."
A review on the advancements in the field of upper limb prosthesis,"Nilanjana Das, Nikita Nagpal, Shailee Singh Bankura",https://www.semanticscholar.org/paper/7ef477e3562794e25d0be68d2e3da16e1641f5f6,,2018,"Abstract Amputation is one of the serious issue across the globe which is mainly caused by trauma, medical illness or congenital condition. Because of steep increase in amputation incidences, the need for progress in technicality of prosthesis is becoming imperative. In this article, the journey of advancements in upper arm prosthesis has been discussed step by step. Moreover, it has also been enunciated that how from a simple replacement for an arm it now has reached the mark of giving a patient a fully functional limb with the help of sensors and myoelectric transducers that are able to translate the remaining muscle signals into full movement of the prosthesis. However, researches are still going on to make the design of the prosthetic more impressive having better range of movement, to establish its interface with brain more efficiently and to make the control of prosthetic more user friendly. In this review, a special emphasis has also been given to myoelectric prosthesis as this prosthetic system possesses a decisive influence on rehabilitation results. Moreover, this prosthetic system is extremely elegant and cutting-edge in both design and technology and offers a great wearer comfort."
Prosthetic Componentry in Upper Limb Prosthetic Restoration.,"Rebecca A. Speckman, Wayne T. Biggs",https://www.semanticscholar.org/paper/a294ff769f5e50d7022b37462d8f27f5a0f57ff7,,2024,"This article provides an overview of fundamental upper limb prosthesis concepts and componentry, including control systems (body-powered, externally powered, passive, and hybrid), sockets and suspension, and terminal devices.

Published by Elsevier Inc.

"
Optimal Sites for Upper Extremity Amputation: Comparison Between Surgeons and Prosthetists,"Brandon Apagüeño, Sara E Munkwitz, Nicholas V. Mata, Christopher Alessia, V. Nayak, Paulo G. Coelho, Natalia Fullerton",https://www.mdpi.com/2306-5354/12/7/765/pdf?version=1752645811,,2025,"Upper extremity amputations significantly impact an individual’s physical capabilities, psychosocial well-being, and overall quality of life. The level at which an amputation is performed influences residual limb function, prosthetic compatibility, and long-term patient satisfaction. While surgical guidelines traditionally emphasize maximal limb preservation, prosthetists often advocate for amputation sites that optimize prosthetic fit and function, highlighting the need for a collaborative approach. This review examines the discrepancies between surgical and prosthetic recommendations for optimal amputation levels, from digit amputations to shoulder disarticulations, and explores their implications for prosthetic design, functionality, and patient outcomes. Various prosthetic options, including passive functional, body-powered, myoelectric, and hybrid devices, offer distinct advantages and limitations based on the level of amputation. Prosthetists emphasize the importance of residual limb length, not only for mechanical efficiency but also for achieving symmetry with the contralateral limb, minimizing discomfort, and enhancing control. Additionally, emerging technologies such as targeted muscle reinnervation (TMR) and advanced myoelectric prostheses are reshaping rehabilitation strategies, further underscoring the need for precise amputation planning. By integrating insights from both surgical and prosthetic perspectives, this review highlights the necessity of a multidisciplinary approach involving surgeons, prosthetists, rehabilitation specialists, and patients in the decision-making process. A greater emphasis on preoperative planning and interprofessional collaboration can improve prosthetic outcomes, reduce device rejection rates, and ultimately enhance the functional independence and well-being of individuals with upper extremity amputations."
Differences in Myoelectric and Body-Powered Upper-Limb Prostheses: Systematic Literature Review,"Systematic Review, SL Carey, DJ Lura",https://www.semanticscholar.org/paper/1cf5ee7f46e797ea285a63ad5adccdb3c1ba0a47,,2017,"ABSTRACT The choice of a myoelectric or body-powered upper-limb prosthesis can be determined using factors including control, function, feedback, cosmesis, and rejection. Although body-powered and myoelectric control strategies offer unique functions, many prosthesis users must choose one. A systematic review was conducted to determine differences between myoelectric and body-powered prostheses to inform evidence-based clinical practice regarding prescription of these devices and training of users. A search of 9 databases identified 462 unique publications. Ultimately, 31 of them were included and 11 empirical evidence statements were developed. Conflicting evidence has been found in terms of the relative functional performance of body-powered and myoelectric prostheses. Body-powered prostheses have been shown to have advantages in durability, training time, frequency of adjustment, maintenance, and feedback; however, they could still benefit from improvements of control. Myoelectric prostheses have been shown to improve cosmesis and phantom-limb pain and are more accepted for light-intensity work. Currently, evidence is insufficient to conclude that either system provides a significant general advantage. Prosthetic selection should be based on a patient’s individual needs and include personal preferences, prosthetic experience, and functional needs. This work demonstrates that there is a lack of empirical evidence regarding functional differences in upper-limb prostheses."
Evidence Note Differences in Myoelectric and Body-Powered Upper Limb Prostheses,,https://www.semanticscholar.org/paper/a9dd6c54015675f7d31526ecb5f8d6f057203925,,2014,"Key Points  Research comparing upper limb prostheses is limited.  Body-powered prostheses have demonstrated advantages in durability, training time, user feedback and frequency of adjustment and maintenance.  Myoelectric prostheses have been shown to provide a cosmetic advantage, are more accepted for light intensity work, and may positively affect phantom limb pain when used actively.  Body-powered prosthetic control can be improved by optimizing harness and cabling systems.  Myoelectric prostheses can be improved with more intuitive control methods."
Improvement on upper limb body-powered prostheses (1921–2016): A systematic review,"N. A. Hashim, N. A. Abd Razak, N. A. Abu Osman, H. Gholizadeh",https://journals.sagepub.com/doi/pdf/10.1177/0954411917744585,,2018,"Body-powered prostheses are known for their advantages of cost, reliability, training period, maintenance, and proprioceptive feedback. This study primarily aims to analyze the work related to the improvement of upper limb body-powered prostheses prior to 2016. A systematic review conducted via the search of the Web of Science electronic database, Google Scholar, and Google Patents identified 155 papers from 1921 to 2016. Sackett’s initial rules of evidence were used to determine the levels of evidence, and only papers categorized in the design and development category and patents were analyzed. A total of 40 papers in the sixth level of “Design and Development” of an upper limb body-powered prosthesis were found. Approximately 81% were categorized under mechanical alteration. Most papers were patent-type documents (48%), with the Journal of Rehabilitation Research and Development publishing most of the articles related to the design and development of body-powered prostheses. Papers in the scope of the study were published once every 3 years in almost a century, proving that only a few studies were conducted to improve body-powered arms compared with myoelectric technology. Further research should be carried out mainly in areas that have received less attention."
A Review on Upper-Limb Myoelectric Prosthetic Control,"Nisheena V. Iqbal, K. Subramaniam, Shaniba Asmi P.",https://www.semanticscholar.org/paper/20b26a12b04da305bae0c5031f89face91148f40,,2018,"ABSTRACT One of the most interesting topics in the field of rehabilitation is that of upper-limb myoelectric prosthetic control. It is a technique by which prostheses are controlled by means of surface electromyogram (sEMG) signals collected from remnant muscle tissues at the residual limb of an amputee. Intuitive control of multifunctional upper-limb prosthesis can be accomplished using pattern recognition (PR) of sEMG signals. In spite of the tremendous progress made in the research of the so-called mind-controlled artificial arm, none of the academic achievements has yet reached the end users. This review paper portrays the current state-of-the-art approach in sEMG pattern classification-based control, identifies the factors that hinder the clinical usability of the system and focuses on the recent research directions toward translating the academic findings into a commercially acceptable robust myoelectric prosthesis. Control strategies proposed for simultaneous and proportional control (SPC) of multiple degrees of freedom (DoFs), which is identified as the most significant barrier for the transition from laboratory to clinical practice, are discussed. Directions for future research are also briefly outlined."
Myoelectric Control for Upper Limb Prostheses,"Carles Igual, Luis A. Pardo, J. Hahne, J. Igual",https://www.mdpi.com/2079-9292/8/11/1244/pdf?version=1573213208,,2019,"State-of-the-art high-end prostheses are electro-mechanically able to provide a great variety of movements. Nevertheless, in order to functionally replace a human limb, it is essential that each movement is properly controlled. This is the goal of prosthesis control, which has become a growing research field in the last decades, with the ultimate goal of reproducing biological limb control. Therefore, exploration and development of prosthesis control are crucial to improve many aspects of an amputee’s life. Nowadays, a large divergence between academia and industry has become evident in commercial systems. Although several studies propose more natural control systems with promising results, basic one degree of freedom (DoF), a control switching system is the most widely used option in industry because of simplicity, robustness and inertia. A few classification controlled prostheses have emerged in the last years but they are still a low percentage of the used ones. One of the factors that generate this situation is the lack of robustness of more advanced control algorithms in daily life activities outside of laboratory conditions. Because of this, research has shifted towards more functional prosthesis control. This work reviews the most recent literature in upper limb prosthetic control. It covers commonly used variants of possible biological inputs, its processing and translation to actual control, mostly focusing on electromyograms as well as the problems it will have to overcome in near future."
The Extraction of Neural Information from the Surface EMG for the Control of Upper-Limb Prostheses: Emerging Avenues and Challenges,"D. Farina, N. Jiang, Hubertus Rehbaum, A. Holobar, B. Graimann, H. Dietl, O. Aszmann",https://www.semanticscholar.org/paper/ec4b9e560654a923f58ff5e61691ba6ecc9c5c10,,2014,"Despite not recording directly from neural cells, the surface electromyogram (EMG) signal contains information on the neural drive to muscles, i.e, the spike trains of motor neurons. Using this property, myoelectric control consists of the recording of EMG signals for extracting control signals to command external devices, such as hand prostheses. In commercial control systems, the intensity of muscle activity is extracted from the EMG and used for single degrees of freedom activation (direct control). Over the past 60 years, academic research has progressed to more sophisticated approaches but, surprisingly, none of these academic achievements has been implemented in commercial systems so far. We provide an overview of both commercial and academic myoelectric control systems and we analyze their performance with respect to the characteristics of the ideal myocontroller. Classic and relatively novel academic methods are described, including techniques for simultaneous and proportional control of multiple degrees of freedom and the use of individual motor neuron spike trains for direct control. The conclusion is that the gap between industry and academia is due to the relatively small functional improvement in daily situations that academic systems offer, despite the promising laboratory results, at the expense of a substantial reduction in robustness. None of the systems so far proposed in the literature fulfills all the important criteria needed for widespread acceptance by the patients, i.e. intuitive, closed-loop, adaptive, and robust real-time (<;200 ms delay) control, minimal number of recording electrodes with low sensitivity to repositioning, minimal training, limited complexity and low consumption. Nonetheless, in recent years, important efforts have been invested in matching these criteria, with relevant steps forwards."
