Title,Authors,URL,DOI,Published Date,Summary
Challenges and strategies for the development and diffusion of assistive technologies,"J. W. Lourenço, Paulo Alexandre Correia de Jesus, Jones Luís Schaefer, Osíris Canciglieri Junior",https://www.semanticscholar.org/paper/6764177e3cb7c33dd801cdb8e1cfbd6e67fedb49,,2025,"Abstract Aim Assistive Technology (AT) facilitates daily life activities for individuals with disabilities and the elderly, helping them adapt to physical tasks and social interactions with family, friends, and colleagues. Despite its potential to promote autonomy and independence, numerous barriers often hinder AT’s integration and accessibility. This research aims to systematically identify and analyse the barriers and challenges that hinder the widespread adoption and accessibility of AT and propose practical solutions to overcome them. Methods A Systematic Literature Review (RSL) was employed as the primary methodological approach, followed by the application of VOSviewer and Statistica Software to ensure a rigorous analysis of the data and the formation of clusters of barriers, which were subsequently grouped to allow a standardised, didactic exploration and segmented of the similarities between the identified obstacles. Results The analysis identified thirteen clusters, the most prevalent in the literature being the “Financial and Knowledge Access Barriers”. Conclusion This study provides a comprehensive examination of the challenges obstructing the accessibility and implementation of AT, offering targeted strategies to mitigate these barriers and improve the integration of AT for its end users. IMPLICATIONS FOR REHABILITATION Assistive Technology (AT) mediates the user and their environment, adapting physical, cognitive, auditory, and visual limitations to their social context, thus promoting inclusion, independence, and well-being for users. Barriers such as high costs, technological complexity, and socio-cultural stigma hinder successful rehabilitation and accessibility for AT users, underscoring the need for targeted solutions. Customization of assistive devices to meet individual needs and the creation of public-private partnerships can reduce production costs, increase accessibility, and improve rehabilitation outcomes. Continuous training programs for healthcare professionals and AT users are essential to overcome technical knowledge gaps and ensure effective and sustainable rehabilitation processes."
Design of health technologies for users facing limitations: A scoping review,"Emanuele König-Klever, Patricia Raquel Bohn, C. Libânio, F. Fogliatto, L. Tonetto",https://www.semanticscholar.org/paper/fdc0de0b126d077f4434440cf41cac24f2c105dd,,2024,"BACKGROUND Studies reveal healthcare disparities for people with disabilities (PwD) due to various barriers. Digital health offers promise but raises concerns about the digital divide. To address that, health Information and Communication Technologies (ICTs) should follow inclusive design principles for accessibility to all, including PwD. OBJECTIVE We examine the design of ICTs in healthcare to address the needs of people with disabilities. Three research questions guide the study: (i) how health technologies contribute to healthcare accessibility and inclusion; (ii) what the main challenges are in implementing these technologies; (iii) how health ICTs are structured to meet users’ limitations and enhance performance. METHODS Research questions are addressed through a scoping review and critical literature analysis, drawing from seven databases and grey literature. The analysis of research question (iii) uses the accessibility fundamentals recommended by the Web Accessibility Initiative as starting point. RESULTS Our research reveals a predominant focus on the elderly, with cognitive impairment as the most studied limitation, followed by mobility, reach and dexterity, vision, and hearing. CONCLUSIONS We emphasize the need for inclusive design for all health technologies and investigate their potential to improve user and healthcare system performance. We also propose four promising research directions for further investigation."
Disabled-by-design: effects of inaccessible urban public spaces on users of mobility assistive devices – a systematic review,"Efthimis Kapsalis, Nils Jaeger, Jonathan Hale",https://nottingham-repository.worktribe.com/preview/13176533/Accepted%20Manuscript_KapsalisJaegerHale.pdf,,2022,"Abstract Purpose Despite the increase of users of Mobility Assistive Devices (MobAD), there has been a lack of accessibility in urban environments in many parts of the world. We present a systematic review of how the inaccessible design of public spaces affects quality-of-life – including aspects of health and safety, independence, and social participation – of MobAD users. Materials and methods We conducted a literature search in three databases (i.e., Scopus, Web of Science, and PubMed) and initially discovered 3980 publications. We analysed 48 peer-reviewed journal articles published in English from 2005 to 2021 and assessed their quality of evidence via the Mixed Methods Appraisal Tool. Results Findings indicated a substantial number of inaccessible elements for MobAD users in public spaces. Pathway characteristics, boarding ramps, entrance features, confined spaces, and service surfaces were deemed to be the least accessible elements. These barriers had multifaceted effects on MobAD users’ quality of life with aspects of physical health, mobility, and use of public transport being most affected. Conclusions Notwithstanding that the reviewed studies mostly ocused on wheelchair users residing in high-income countries, this review outlines the critical role of the design of the built environment as a factor of disablement for MobAD users. We conclude by highlighting a few recommendations for future research and practice, especially inclusive approaches and adaptive techniques to assist MobAD users with performing tasks in public spaces independently. Implications for Rehabilitation Users of Mobility Assistive Devices experience a lack of accessibility provisions in public open spaces and buildings internationally. Physical barriers in public spaces substantially diminish the health and safety, autonomy, and social participation of users of Mobility Assistive Devices. There is a definite need for the adoption of inclusive strategies and adaptive techniques in placemaking processes so that users of Mobility Assistive Devices can have equitable access to public spaces."
Designing a More Inclusive World,"S. Keates, J. Clarkson, P. Langdon, P. Robinson",https://www.semanticscholar.org/paper/d47e81a151849c6bf087be7be8164b5f7a0dcfe6,,2012,"Designing inclusively is no longer an option for companies. It is a business essential. Global populations are getting older, legislation is increasingly prohibitive of unnecessary exclusion and consumer attitudes are beginning to change. Exclusivity is out, inclusivity is in. Research communities the world over are responding to this change in design emphasis. Conferences such as the Cambridge Workshops on Universal Access and Assistive Technology (CWUAAT) offer a forum for researchers from diverse and varied disciplines to bring their perspectives on inclusive design together. This book has been inspired by the second CWUAAT, held in Cambridge, England in March 2004. It contains chapters from an international group of leading researchers in this field. Contributions focus on the following topics:design issues for universal access and assistive technology;enabling computer access and new technologies; and,assistive technology and rehabilitation robotics. This series of conferences is aimed at a broad range of interests, with a general focus on the development of products and solutions. Numerous case studies are used to raise awareness of the challenges faced in developing truly inclusive products, along with examples of good practice for design for a more inclusive world."
Innovating alongside designers.,"D. McDonagh, Joyce Thomas",https://www.semanticscholar.org/paper/18de67abe563aee10ebffc315c5e24dccdc1933a,,2013,"Building alliances with industrial designers offers health innovators a unique pathway to create new modes to serve their patients. Cross-pollination of ideas from the earliest stages of development in interdisciplinary research and development teams including major stakeholders and designers can lead to more meaningful and impactful innovations.A shift in future healthcare from cure to prevention will rely more heavily upon the individual. The home environment will house consumer medical devices that will carry out basic monitoring of the individual. While technologies are currently being developed to support this trend, there is a gulf that exists between the often-complex interfaces required by the highly specific functionality of products and the emotional needs of the target user. If a target user 'feels' a product was designed 'just for them' they are more likely to develop an emotional bond with that product. This manifests itself in the user engaging and interacting with the product. If a product, regardless of its high functionality, does not resonate with the user, this tends to result in product underuse, misuse and possible abandonment. When those products are related to a course of medical rehabilitation or treatment, these results could be translated to 'more compliant' and 'less compliant' and ultimately can impact upon how a person heals.Industrial designers focus on ensuring that both the functional and emotional needs of mainstream users as well as technical-expert-users are met. Design research provides the opportunity to bridge the gap between the functional requirements and the less tangible unmet needs of the user by exploring authentic human behaviour.This paper presents case studies of collaborative, interdisciplinary teams employing human-centred design and empathic research strategies (incorporating shared language, collaboration, ethnography, empathy and empathic modelling) to create real solutions that are responding to real needs of real users.The future is interdisciplinary. The future is bright."
The Importance of Industrial Design in Medical Devices in the 21st Century,"Fanny Guadalupe Valdivia-Márquez, Pilar Hernandez-Grageda, Gabriela Durán-Aguilar, Luis Alberto Rosa Sierra",https://www.semanticscholar.org/paper/2d06aff80dc73cce35ba50fd5a75d0655088c42f,,2018,"The medical device business is strategic both for its high international competitiveness and its potential impact. Mexico has participated in this business mainly from the manufacturing sector, but if it seeks as a country to achieve a greater participation at the design trends of medical devices, it will be of great importance to consider the role of Industrial Design as a factor to improve the user’s quality life through innovative products. This will be the result of a multidisciplinary work among professionals of Biomedical Engineering and Industrial Design, being conscious that the better the designer knows the user that will interact with the product -with support from Ergonomics and Psychology-, better decisions will be made in the process of design and as a result, globally competitive results will be obtained, with technologically innovative products based on proposals that meet the user’s needs, triggering favorable economic results for the industry and improving the global positioning of the country."
Medical Device Design Challenges Based on Users Hierarchy and Their Correlation with Illness,"Fabiola Cortes-Chavez, Maria Giovanna-Trotta, Paulina Manzano-Hernandez, Luis Alberto Rosa Sierra, Gabriela Durán-Aguilar",https://www.semanticscholar.org/paper/a2879c76b6406507d25611ffa89761333ed0db11,,2018,"The absence of industrial designers in the design of medical devices, which are currently designed mostly by engineers and/or professionals with less study in the human centered design methodologies, as well as the rigorous regulations that govern the design of medical products, have diminished the importance of implementing a hierarchy of users during the design process. Most importantly, this hierarchy varies depending on the stage of the disease in which the patient is located. The medical devices should be designed taking into account the hierarchy of users in importance, priority of needs and their correlation with the stage of the patient’s illness."
Inclusive design,"John Clarkson, Roger Coleman",http://hdl.handle.net/10818/20182,,2010,"The 1990s saw a sea change in thinking about assistive technology and design for disability in response to a growing awareness of demographic ageing as a global trend, and the widespread desire among the disabled community for inclusion within the mainstream of consumer society. Although initially driven by relatively small groups of people in the US, Europe and Japan responding to local conditions, this rapidly became international in character and influence. Although a range of terms was used – universal design, inclusive design, design for all, gerontechnology, transgenerational design – the key and common shift in thinking was to replace the view that people are disabled by physical and mental impediments with the more radical proposal that people are disabled by designs and environments that do not take account of the full range of human capabilities. As a result, links were formed between user organisations, government and the design community leading to new products, services and legislation reflecting this shift in thinking. A practical lead was given by Sweden, where innovative designers such as Maria Benktzson of Ergonomi Design Gruppen collaborated with the Swedish Health Service to develop high quality assistive products based on extensive user research and contemporary design values. This development was triggered by a 1968 seminar at the Design School in Stockholm involving Victor Papanek and Andrzej Pawlowski. Papanek also spoke at a similar design seminar at the Royal College ofArt, London, in 1976, which explored the subject of Design for Need, and between 1979 and 1982, American designer Patricia Moore of Raymond Leowy’s New York office conducted an influential experiment where she transformed herself into an elderly woman to reveal the inadequacy of much design. More recently, advances have been made in Japan, the US and Europe that are embedding this thinking in industry and education, including the introduction of BS 7000-6 on inclusive design management, the transformation of BT from a company with a special section devoted to ‘older and disabled consumers’ to a company with a core inclusive design strategy, and the launch of a Knowledge Transfer programme in inclusive design under the UK’s government-funded EQUAL programme. The EQUAL programme, begun in the 1990s, demonstrated that by keeping researchers close to research users and beneficiaries, as well as ensuring that they were networked to policy makers, major improvements could be achieved very quickly both locally and nationally. It succeeded in encouraging a new generation of researchers, both from engineering and industrial design backgrounds, to participate in an already active enthusiastic research community. Two new biennial international conference series were also established to support the programme: INCLUDE, with its inaugural event in London in 2001 and a sixth meeting planned for 2011; and"
Universal Design as a Paradigm for Providing Health Interventions for Older Adults 1,Peter J. Snyder,https://www.semanticscholar.org/paper/0fee86f1e39c10e646d16b8f2ed08bceb9e4441b,,2021,"Universal Design is a broadly applied approach within the industrial design (ID) field that has, as its hallmark characteristic, the goal of inclusivity. This design philosophy allows the ID professional to play a role as an extended member of the caregiving team for older adults by creating products, services and solutions with a design ethic that has direct effects on their health and well-being."
User centered design for the development of health technology: Towards sustainable healthcare systems,Sara S Groos,https://www.semanticscholar.org/paper/907f7b7bc92d8c56425a53d55fe84ab758c4bccc,,2023,"User-oriented problems in healthcare application design are a major threat to intervention effectiveness. Despite recommendations that end-users should be involved in the development of these technologies, few studies involve their end-users in systematic and meaningful ways to ensure that applications are customized to their needs and preferences. User-centered design (UCD) involves end-users throughout the development process to ensure that all design aspects and support tasks are easy to operate and of value. This study provides an overview of UCD Methods: to aid researchers in the selection of appropriate methods to improve application design. Additionally, we aim to showcase how end-users can be successfully involved in each stage of the development process. An overview of UCD Methods: has been developed by (1)using an interdisciplinary theoretical approach, drawing on theories from communication science, health psychology, marketing, and health informatics, (2)identifying specific stages of development in which end-user participation is crucial; and (3)understanding barriers to end-user participation. Best practices of UCD will be discussed. Each method has its unique value in contributing to UCD; personas can be used to make design decisions, think-a-loud Methods: are valuable in receiving user feedback about which aspects of technology are confusing. Prototypes are useful to gather user requirements at an early stage of the development while how focus groups are fundamental in getting consecutive feedback about these prototypes. Barriers to end-user participation are a cognitive burden and a lack of affinity with technology. Knowledge about end-user values and needs is essential to create meaningful and effective interventions. Adopting a UCD method will have an immense benefit to end-users as increased usability can have advantages such as reduced stress level, improved accessibility, and reduced threat of damage. This study will help researchers, developers, and designers to create more user-friendly and sustainable healthcare systems."
