Title,Authors,URL,DOI,Published Date,Summary
The Current State of 3D-Printed Prostheses Clinical Outcomes: A Systematic Review,"Huthaifa Atallah, Titeana Qufabz, Rabee Naeem, Hadeel R. Bakhsh, Giorgio Ferriero, Dorottya Varga, Evelin Derkács and Bálint Molics",https://pdfs.semanticscholar.org/ba69/58c1df3158e9bd0d8072ad2501bd98c2d035.pdf,,2025-10-08,
Antropometric Based Optimization Of Wheelchair Design For Enhanced User Ergonomics,"Muhamad Rezky Putra Pratama, Christofora Desi Kusmindari",https://seminar.uad.ac.id/index.php/uphec/article/view/18692,,2025-01-31,
Topologically Optimized Anthropomorphic Prosthetic Limb: Finite Element Analysis and Mechanical Evaluation Using Plantogram-Derived Foot Pressure Data,"Ioannis Filippos Kyriakidis, N. Kladovasilakis, Marios Gavriilopoulos, D. Tzetzis, E. Pechlivani, Konstantinos Tsongas",https://www.mdpi.com/2313-7673/10/5/261/pdf?version=1745568472,,2025,"The development of prosthetic limbs has benefited individuals who suffered amputations due to accidents or medical conditions. During the development of conventional prosthetics, several challenges have been observed regarding the functional limitations, the restricted degrees of freedom compared to an actual human limb, and the biocompatibility issues between the surface of the prosthetic limb and the human tissue or skin. These issues could result in mobility impairments due to failed mimicry of the actual stress distribution, causing discomfort, chronic pain, and tissue damage or possible infections. Especially in cases where underlying conditions exist, such as diabetes, possible trauma, or vascular disease, a failed adaptation of the prosthetic limb could lead to complete abandonment of the prosthetic part. To address these challenges, the insertion of topologically optimized parts with a biomimetic approach has allowed the optimization of the mimicry of the complex functionality behavior of the natural body parts, allowing the development of lightweight efficient anthropomorphic structures. This approach results in unified stress distribution, minimizing the practical limitations while also adding an aesthetic that aids in reducing any possible symptoms related to social anxiety and impaired social functioning. In this paper, the development of a novel anthropomorphic designed prosthetic foot with a novel Thermoplastic Polyurethane-based composite (TPU-Ground Tire Rubber 10 wt.%) was studied. The final designs contain advanced sustainable polymeric materials, gyroid lattice geometries, and Finite Element Analysis (FEA) for performance optimization. Initially, a static evaluation was conducted to replicate the phenomena at the standing process of a conventional replicated above-knee prosthetic. Furthermore, dynamic testing was conducted to assess the mechanical responses to high-intensity exercises (e.g., sprinting, jumping). The evaluation of the dynamic mechanical response of the prosthetic limb was compared to actual plantogram-derived foot pressure data during static phases (standing, light walking) and dynamic phenomena (sprinting, jumping) to address the optimal geometry and density, ensuring maximum compatibility. This innovative approach allows the development of tailored prosthetic limbs with optimal replication of the human motion patterns, resulting in improved patient outcomes and higher success rates. The proposed design presented hysteretic damping factor and energy absorption efficiency adequate for load handling of intense exercises (0.18 loss factor, 57% energy absorption efficiency) meaning that it is suitable for further research and possible upcycling."
Topologically Optimized Anthropomorphic Prosthetic Limb: Finite Element Analysis and Mechanical Evaluation Using Plantogram-Derived Foot Pressure Data,"Ioannis Filippos Kyriakidis, N. Kladovasilakis, Marios Gavriilopoulos, D. Tzetzis, E. Pechlivani, Konstantinos Tsongas",https://www.mdpi.com/2313-7673/10/5/261/pdf?version=1745568472,,2025,"The development of prosthetic limbs has benefited individuals who suffered amputations due to accidents or medical conditions. During the development of conventional prosthetics, several challenges have been observed regarding the functional limitations, the restricted degrees of freedom compared to an actual human limb, and the biocompatibility issues between the surface of the prosthetic limb and the human tissue or skin. These issues could result in mobility impairments due to failed mimicry of the actual stress distribution, causing discomfort, chronic pain, and tissue damage or possible infections. Especially in cases where underlying conditions exist, such as diabetes, possible trauma, or vascular disease, a failed adaptation of the prosthetic limb could lead to complete abandonment of the prosthetic part. To address these challenges, the insertion of topologically optimized parts with a biomimetic approach has allowed the optimization of the mimicry of the complex functionality behavior of the natural body parts, allowing the development of lightweight efficient anthropomorphic structures. This approach results in unified stress distribution, minimizing the practical limitations while also adding an aesthetic that aids in reducing any possible symptoms related to social anxiety and impaired social functioning. In this paper, the development of a novel anthropomorphic designed prosthetic foot with a novel Thermoplastic Polyurethane-based composite (TPU-Ground Tire Rubber 10 wt.%) was studied. The final designs contain advanced sustainable polymeric materials, gyroid lattice geometries, and Finite Element Analysis (FEA) for performance optimization. Initially, a static evaluation was conducted to replicate the phenomena at the standing process of a conventional replicated above-knee prosthetic. Furthermore, dynamic testing was conducted to assess the mechanical responses to high-intensity exercises (e.g., sprinting, jumping). The evaluation of the dynamic mechanical response of the prosthetic limb was compared to actual plantogram-derived foot pressure data during static phases (standing, light walking) and dynamic phenomena (sprinting, jumping) to address the optimal geometry and density, ensuring maximum compatibility. This innovative approach allows the development of tailored prosthetic limbs with optimal replication of the human motion patterns, resulting in improved patient outcomes and higher success rates. The proposed design presented hysteretic damping factor and energy absorption efficiency adequate for load handling of intense exercises (0.18 loss factor, 57% energy absorption efficiency) meaning that it is suitable for further research and possible upcycling."
Topologically Optimized Anthropomorphic Prosthetic Limb: Finite Element Analysis and Mechanical Evaluation Using Plantogram-Derived Foot Pressure Data,"Ioannis Filippos Kyriakidis, N. Kladovasilakis, Marios Gavriilopoulos, D. Tzetzis, E. Pechlivani, Konstantinos Tsongas",https://www.mdpi.com/2313-7673/10/5/261/pdf?version=1745568472,,2025,"The development of prosthetic limbs has benefited individuals who suffered amputations due to accidents or medical conditions. During the development of conventional prosthetics, several challenges have been observed regarding the functional limitations, the restricted degrees of freedom compared to an actual human limb, and the biocompatibility issues between the surface of the prosthetic limb and the human tissue or skin. These issues could result in mobility impairments due to failed mimicry of the actual stress distribution, causing discomfort, chronic pain, and tissue damage or possible infections. Especially in cases where underlying conditions exist, such as diabetes, possible trauma, or vascular disease, a failed adaptation of the prosthetic limb could lead to complete abandonment of the prosthetic part. To address these challenges, the insertion of topologically optimized parts with a biomimetic approach has allowed the optimization of the mimicry of the complex functionality behavior of the natural body parts, allowing the development of lightweight efficient anthropomorphic structures. This approach results in unified stress distribution, minimizing the practical limitations while also adding an aesthetic that aids in reducing any possible symptoms related to social anxiety and impaired social functioning. In this paper, the development of a novel anthropomorphic designed prosthetic foot with a novel Thermoplastic Polyurethane-based composite (TPU-Ground Tire Rubber 10 wt.%) was studied. The final designs contain advanced sustainable polymeric materials, gyroid lattice geometries, and Finite Element Analysis (FEA) for performance optimization. Initially, a static evaluation was conducted to replicate the phenomena at the standing process of a conventional replicated above-knee prosthetic. Furthermore, dynamic testing was conducted to assess the mechanical responses to high-intensity exercises (e.g., sprinting, jumping). The evaluation of the dynamic mechanical response of the prosthetic limb was compared to actual plantogram-derived foot pressure data during static phases (standing, light walking) and dynamic phenomena (sprinting, jumping) to address the optimal geometry and density, ensuring maximum compatibility. This innovative approach allows the development of tailored prosthetic limbs with optimal replication of the human motion patterns, resulting in improved patient outcomes and higher success rates. The proposed design presented hysteretic damping factor and energy absorption efficiency adequate for load handling of intense exercises (0.18 loss factor, 57% energy absorption efficiency) meaning that it is suitable for further research and possible upcycling."
Applying 3D Scanning and Printing Techniques to Produce Upper Limb Prostheses: Bibliometric Analysis and Scoping Review,"Nico Chainando, Marcel Martawidjaja, Raphael Albert Darius, Leonardo Carlos Yahya, Sharon Yemima, Wilson Sutanto Tan, Christian Harito, Rafa Callista Chandra, Grasheli Kusuma Andhini, Ketut Bagus Putra, Cokisela Christian Lumban Tobing, Muhammad Syafi’i, Muhammad Syafrudin",https://www.mdpi.com/2673-1592/7/2/26/pdf?version=1740996517,,2025,"Background/Objectives: Three-dimensional scanning and printing techniques have gained prominence in the fabrication of upper limb prostheses. This paper provides an overview of various studies on the current utilization of 3D scanning and 3D printing techniques in upper limb prostheses. Methods: A scoping review of the literature was performed following the PRISMA-ScR guidelines in Scopus, PubMed, Google Scholar, and Web of Science, with a total of 274 papers included. A bibliometric analysis was conducted, analyzing the field via keyword co-occurrence visualized using VOSviewer software. Results: Keyword co-occurrence analysis identified four key areas, “prosthesis design and evaluation for people”, “prosthesis control and sensing technologies”, “robotics and mechanical prostheses design”, and “accessibility for prosthesis”. Temporal analysis identified three trends: a focus on fingers, advancement of control systems, and the rise of 3D scanning. In addition, qualitative analysis was conducted to discuss the areas and trends that were shown from the bibliometric analysis, highlighting several studies. Conclusions: This review shows the utilization and notable success of 3D printing and scanning techniques when making upper limb prostheses, with the contents of this article informing healthcare professionals and the general public about the field."
Methods to assess lower limb prosthetic adaptation: a systematic ...,,https://pubmed.ncbi.nlm.nih.gov/40301975/,,2025-04-28,
METHOD FOR CREATING A DIGITAL ATLAS OF 3D MODELS OF HUMAN ANATOMY FOR PROSTHETICS,"A. Volkov, S. Antoshchuk",https://pratsi.op.edu.ua/index.php/pratsi/article/download/515/487/1493,,2025,"Modern methods of 3D modeling and computer graphics play a key role in medicine, particularly in the development of personalized prostheses and implants. The use of 3D scanning technology enables specialists to accurately assess the extent of damage to the human body and to create detailed digital models of the affected areas. This opens new perspectives in diagnostics, surgical planning, and the production of customized prosthetic and implantable devices. The application of 3D reconstruction allows physicians to design medical devices that precisely replicate the anatomical structures of a specific patient. The implementation of such methods facilitates the selection of optimal treatment strategies, accelerates patient recovery, and improves the overall efficiency of the therapeutic process. Currently, there are numerous digital atlases of the human body; however, most of them are not specialized for prosthetic applications, which complicates the reconstruction of limbs considering individual anatomical features of patients. The aim of this work is to develop a method for creating a digital atlas of 3D human anatomy models to support clinical decision-making in prosthetics. The digital atlas provides an effective system for managing anatomical 3D models, with the capability of adapting data formats for 3D printing or reconstruction. It also enables the storage of precise anatomical characteristics in a structured form, specifically as descriptions of reference limb models linked to a specialized database, ensuring convenient data access and processing. As a result, the accuracy of 3D reconstruction is significantly improved, the process of prosthesis design is simplified, diagnostics and surgical planning are enhanced, and medical professionals gain effective access to anatomical 3D models and supporting information."
EVALUATION OF OFFICE CHAIR DESIGN FROM ERGONOMIC AND ANTHROPOMETRIC PERSPECTIVES,"Taufik Ramadhan Fitrianto, Bahtiar Rahmat, Alfani Risman Nugroho, Galih Prakoso, Anshah Silmi Afifah, Siska Anggiriani, Dhian Juwitasari",https://ejournal.undip.ac.id/index.php/jgti/article/download/67938/29055,,2025,"Workplace seating that does not match user anthropometry often leads to discomfort and musculoskeletal disorders (MSDs). This study evaluates the office chairs used at the Politeknik Industri Furnitur dan Pengolahan Kayu Kendal by combining discomfort analysis and anthropometric mismatch assessment. Thirty-two employees (16 males, 16 females) participated, completing the Nordic Body Map (NBM) questionnaire and providing seated anthropometric measurements. The NBM results revealed that lower back discomfort was the most common complaint, particularly among female respondents, who also reported higher discomfort in the neck, shoulders, and upper back. Mismatch analysis confirmed severe incompatibilities between existing chair dimensions and user anthropometry, with seat height (100% mismatch for both genders) and seat depth (94% for men, 88% for women) as the most problematic. Based on these findings, a redesigned chair was developed, lowering seat height by 30 mm and reducing seat depth by 66 mm, alongside adjustments to backrest and armrest dimensions. Comparison with Indonesian (SNI) and international ergonomic standards (ISO 9241-5, BIFMA G1, EN 1335-1) showed that the redesign falls within recommended ranges. The study demonstrates how anthropometry-based redesign can reduce mismatch and improve comfort, providing practical guidance for the local furniture industry."
Evaluation of Office Chairs to Enhance Comfort and Reduce Musculoskeletal Risk in Sedentary Work Environments,"Taufik Ramadhan Fitrianto, Galih Prakoso, Alfani Risman Nugroho, Anshah Silmi Afifah, Siska Anggiriani, Retno Widiastuti",https://www.semanticscholar.org/paper/ca7cd27044fe502e5542fa052b68df1070912b74,,2025,"This study evaluates the effectiveness of an ergonomically redesigned office chair, tailored to meet the anthropometric needs of employees. It addresses common issues associated with prolonged sitting, such as musculoskeletal discomfort and fatigue, which are prevalent in sedentary work environments. Utilizing anthropometric data from prior studies, the redesign incorporates modifications in key chair dimensions—such as seat height, seat depth, and backrest height—to enhance user comfort and reduce physical strain. The ROSA (Rapid Office Strain Assessment) tool was employed to assess posture and ergonomic risk for both the old and redesigned chairs. Findings indicate a significant improvement in ergonomic support and comfort with the new design, supported by a statistically significant reduction in ROSA scores, as confirmed through a paired sample t-test. Although the redesign effectively enhances comfort, further improvements are recommended, including adjustable lumbar support and backrest flexibility. This study underscores the importance of ergonomic adaptations in office furniture to support diverse body types and reduce occupational health risks."
