Title,Authors,Year,Source Type,URL,Requirement Categories Addressed,Design Methodology Or Framework,Key Contribution
Redefining Prosthetic Needs: Insights from Individuals with Upper Limb Loss—A Systematic Review,Caldas et al.,2026,Conference Paper,https://www.semanticscholar.org/paper/03f168a95d5ef2b58ea5492e3326e09170ed7e0e,Functional; Ergonomic; User-Centred; Psychosocial/acceptance-related requirements[1],"User-centered systematic review using PRISMA guidelines; emphasizes interdisciplinary, user-centred approaches but does not specify a formal engineering design framework like QFD or Axiomatic Design[1]","Synthesizes user-reported needs across functional, ergonomic, and psychosocial dimensions, translating these insights into design-relevant guidelines to bridge the gap between user expectations and prosthetic capabilities.[1]"
Development of Parametric Prostheses for Different Levels ...,Vimieiro,2025,Journal Article,https://www.mdpi.com/2076-3417/15/8/4467,Functional; Ergonomic; Technical; Manufacturing; User-Centred; Cost[2],Parametric CAD-based design with a five-step methodology: material characterization; virtual device design; parametrization for personalized adjustments; finite element computational simulations; and additive manufacturing (FDM) fabrication. Uses geometric suppression parametrization and iLogic rules for automation[2],"Presents a parametric hand prosthesis designed with customized anthropometric geometries and validated with FEA to provide a low-cost, tailored solution for various levels of hand amputations using additive manufacturing.[2]"
Study of the Movements of Active Upper Limb Prostheses,V et al.,2025,Conference Paper,https://www.semanticscholar.org/paper/69a576a69cb5a5ca0d7dce32b2239e7f8b709c06,Functional; User-Centred; Technical; Ergonomic[3],Literature review and movement analysis informing design recommendations; proposes criteria-based design but does not specify a formal framework like QFD or Axiomatic Design[3],Provides recommendations to enhance prosthetic performance by analyzing movement dynamics and user requirements to address high device abandonment rates.[3]
"Upper-limb prosthetic requirements from the healthcare providers, end-users and relatives' perspectives.",Henao et al.,2025,Journal Article,https://www.jhandtherapy.org/action/showPdf?pii=S0894113025000560,"Functional; Ergonomic (comfort, weight, maintenance); User-centred (ADL capability, stakeholder perceptions); Cost considerations[4]","Design Thinking (needs definition stage; Data, Information, Knowledge, and Wisdom scheme) used to gather stakeholder insights for prosthesis design[4]","Defines upper-limb prosthesis design requirements from the perspectives of healthcare providers, end-users, and relatives, highlighting comfort as the most critical characteristic.[4]"
Modular Prosthetic Terminal Device Challenge | Engineering & Design Challenges,Not identified,2025,Web/Report,https://grabcad.com/challenges/modular-prosthetic-terminal-device-challenge,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Designing a Prosthetic Arm,Not identified,2025,Web/Report,https://sherpa-online.com/blog/read/designing-a-prosthetic-arm,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
"SAMARTH: AN ADVANCED BIOMECHATRONIC PROSTHETIC HAND WITH ENHANCED DEXTERITY, AFFORDABILITY, AND USER EXPERIENCE",Patel et al.,2025,Journal Article,https://www.semanticscholar.org/paper/1bb2a41734b409ab3c6861ab2caaae7c671c0f53,Functional; Ergonomic; Technical; Manufacturing; User-Centred; Aesthetic; Cost[5],"Design process involved comparative analysis of existing prosthetic hands and optimization of actuator systems; no formal named design framework (e.g., QFD, Axiomatic Design) is specified.[5]","Presents ""SAMARTH,"" an advanced prosthetic hand that uses biomechatronic principles to emulate the human hand's aesthetics and functionality, addressing high costs and limited function in existing models.[5]"
Human-Centered Design Strategies for Prosthetics Based on User Needs,Guo,2025,Journal Article,https://lseee.net/index.php/hc/article/download/1302/HC007622.pdf,Functional; Aesthetic; User-Centred; Cost; Ergonomic; Technical[6],"The study employs a mixed-method human-centred design framework combining theoretical modeling with empirical methods (large-scale surveys and deep interviews), and proposes a 'cultural context–social integration' design paradigm[6]",Develops a comprehensive framework for human-centered prosthetic design by identifying core design elements aligned with user expectations through a mix of theoretical modeling and empirical research.[6]
A scoping review of digital fabrication techniques applied... : Prosthetics and Orthotics International,Not identified,2025,Journal Article,https://journals.lww.com/poijournal/fulltext/2024/10000/a_scoping_review_of_digital_fabrication_techniques.15.aspx,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
"OpenLimbTT, a Transtibial Residual Limb Shape Model for Prosthetics Simulation and Design: creating a statistical anatomic model using sparse data",Sunderland et al.,2025,Journal Article,https://eprints.whiterose.ac.uk/id/eprint/231162/1/openlimbtt-a-transtibial-residual-limb-shape-model-for-prosthetics-simulation-and-design-creating-a-statistical-anatomic-model-using-sparse-data.pdf,Ergonomic; Manufacturing; Technical; User-Centred; Functional[7],"The study uses a statistical shape modelling framework built on mesh processing, alignment, size-normalization, non-rigid registration (Amberg & Romdhani algorithm), and principal component analysis (PCA) for model generation and validation; cross-validation (leave-one-out) and prediction methods (pseudoinverse/Gappy POD and linear regression) are applied[7]","Presents a statistical shape model (SSM) of transtibial residual limbs to predict internal bone geometry from external surface scans, enabling more accurate prosthetic socket design and simulation.[8]"
