model_id,model_name,parameter,group,unit,initial,minimum,maximum,step,label_pt,caption_pt,role,excluded_from_ai
flexy_beast,Flexy Beast,palm_breadth_mm,Anthropometric,mm,83,55,110,1,Largura da Palma (em mm),Largura metacarpal entre nós dos dedos — define a escala uniforme da palma e da mão pela fórmula Cyborg Beast: escala = (largura + 5) / 55 (mm),,False
flexy_beast,Flexy Beast,middle_finger_length_mm,Anthropometric,mm,72,40,120,1,Comprimento do Dedo Médio (em mm),Dobra MCP à ponta do dedo médio — define o multiplicador global de comprimento dos dedos; alcance de referência à escala = REF_FINGER × xScaleFactor = 37 × ((palm_breadth + 5) / 55) mm (mm),,False
flexy_beast,Flexy Beast,index_finger_length_mm,Anthropometric,mm,68,40,120,1,Comprimento do Dedo Indicador (em mm),Dobra MCP à ponta do indicador — define a proporção do indicador em relação ao dedo médio (mm),,False
flexy_beast,Flexy Beast,ring_finger_length_mm,Anthropometric,mm,68,40,120,1,Comprimento do Dedo Anelar (em mm),Dobra MCP à ponta do anelar — define a proporção do anelar em relação ao dedo médio (mm),,False
flexy_beast,Flexy Beast,pinky_finger_length_mm,Anthropometric,mm,55,30,100,1,Comprimento do Dedo Mindinho (em mm),Dobra MCP à ponta do mindinho — define a proporção do mindinho em relação ao dedo médio (mm),,False
flexy_beast,Flexy Beast,thumb_length_mm,Anthropometric,mm,65,35,100,1,Comprimento do Polegar (em mm),Dobra MCP à ponta do polegar — define a proporção do polegar em relação ao dedo médio (mm),,False
flexy_beast,Flexy Beast,joint_dia,Hardware,mm,7,4,10,0.5,Diâmetro da Junta,Diâmetro do furo da junta flexível — reduza para 5 mm em mãos de crianças pequenas (mm),,False
flexy_beast,Flexy Beast,joint_thick,Hardware,mm,4,1,6,0.5,Espessura da Junta,Espessura da ranhura da junta flexível — reduza para 2 mm em mãos de crianças pequenas (mm),,False
flexy_beast,Flexy Beast,gauntlet_width_mm,Gauntlet,mm,60,40,90,1,Largura da Braçadeira (em mm),Largura do encaixe do antebraço — calcular como wrist_circumference_mm / PI + ~6 mm de folga (mm),,False
flexy_beast,Flexy Beast,gauntlet_length_mm,Gauntlet,mm,108,70,150,1,Comprimento da Braçadeira (em mm),Comprimento da braçadeira ao longo do antebraço (mm),,False
flexy_beast,Flexy Beast,gauntlet_wall_mm,Gauntlet,mm,3,2,5,0.5,Espessura da Parede (em mm),Espessura da parede da manga (mm),,False
flexy_beast,Flexy Beast,gauntlet_pos_adjust,Gauntlet,mm,0,-25,25,1,Ajuste de Posição (em mm),Deslizar a braçadeira ao longo do eixo do antebraço para afinar o encaixe do pino do pulso (mm),,False
flexy_beast,Flexy Beast,wrist_pin_dia,Wrist Hinge,mm,7,3,8,0.5,Diâmetro do Pino do Pulso (em mm),Diâmetro do pino da dobradiça do pulso — predefinido para o tamanho do pino das juntas dos dedos (mm),,False
flexy_beast,Flexy Beast,wrist_pin_clearance,Wrist Hinge,mm,0.35,0.1,0.8,0.05,Folga do Pino (em mm),Folga à volta do pino para que as tiras da braçadeira rodem livremente (mm),,False
flexy_beast,Flexy Beast,strap_splay_adjust,Wrist Hinge,mm,0,-8,8,0.5,Ajuste de Abertura da Tira (em mm),Ajustar a abertura das pontas das tiras para que as abas fiquem mesmo dentro das aletas do pulso da palma (mm),,False
paraglider_hand,Paraglider · Hand,palm_breadth_mm,Anthropometric,mm,83,55,110,1,Largura da Palma (em mm),Largura metacarpal entre nós dos dedos — define a escala uniforme da palma (mm),,False
paraglider_hand,Paraglider · Hand,palm_length_mm,Anthropometric,mm,95,60,140,1,Comprimento da Palma (em mm),Base do pulso à dobra MCP do médio — guardado para alinhamento IA/perfil; a palma usa escala uniforme de palm_breadth_mm (mm),,False
paraglider_hand,Paraglider · Hand,palm_thickness_mm,Anthropometric,mm,32,18,50,1,Espessura da Palma (em mm),Espessura da superfície palmar à dorsal — guardado para alinhamento IA/perfil; a palma usa escala uniforme de palm_breadth_mm (mm),,False
paraglider_hand,Paraglider · Hand,index_finger_length_mm,Anthropometric,mm,68,40,120,1,Comprimento do Indicador (em mm),Dobra MCP à ponta do indicador — define a escala da peça do dedo indicador (mm),,False
paraglider_hand,Paraglider · Hand,middle_finger_length_mm,Anthropometric,mm,72,40,120,1,Comprimento do Médio (em mm),Dobra MCP à ponta do médio — define a escala do médio e a escala base dos dedos (mm),,False
paraglider_hand,Paraglider · Hand,ring_finger_length_mm,Anthropometric,mm,68,40,120,1,Comprimento do Anelar (em mm),Dobra MCP à ponta do anelar — define a escala da peça do anelar (mm),,False
paraglider_hand,Paraglider · Hand,pinky_finger_length_mm,Anthropometric,mm,55,30,100,1,Comprimento do Mindinho (em mm),Dobra MCP à ponta do mindinho — define a escala da peça do mindinho (mm),,False
paraglider_hand,Paraglider · Hand,thumb_length_mm,Anthropometric,mm,65,35,100,1,Comprimento do Polegar (em mm),Dobra MCP à ponta do polegar — guardado para alinhamento IA/perfil; o polegar escala com a escala base dos dedos (mm),,False
paraglider_hand,Paraglider · Hand,string_channel_scale,Hardware,razão adimensional,0.9,0.5,1.0,0.05,Canais de Cordão (×),Diâmetro do canal do cordão relativo à escala da mão (×),,False
paraglider_hand,Paraglider · Hand,elastic_channel_scale,Hardware,razão adimensional,0.9,0.5,1.5,0.05,Canais de Elástico (×),Diâmetro do canal do elástico relativo à escala da mão (×),,False
paraglider_hand,Paraglider · Hand,ARM_HandLen,Arm,mm,135,135,230,1,Comprimento da Mão do Braço (em mm),"Braço: comprimento total da mão, da dobra do pulso à ponta do dedo — define a largura do pulso e a escala geral (mm)",,False
paraglider_hand,Paraglider · Hand,ARM_ForearmLen,Arm,mm,140,120,315,1,Comprimento do Antebraço (em mm),"Braço: comprimento do antebraço, do pulso ao cotovelo (mm)",,False
paraglider_hand,Paraglider · Hand,ARM_BicepCircum,Arm,mm,160,110,350,1,Circunferência do Bíceps (em mm),Braço: circunferência do bíceps para dimensionar a braçadeira do braço (mm),,False
paraglider_hand,Paraglider · Hand,ARM_CuffLength,Arm,mm,65,65,90,1,Comprimento da Braçadeira (em mm),Braço: comprimento da braçadeira do braço (mm),,False
paraglider_hand,Paraglider · Hand,ARM_PinHoleDia,Arm,mm,3,3,6,1,Diâmetro do Pino do Braço (em mm),Braço: diâmetro do furo do pino / parafuso das dobradiças do braço (mm),,False
unlimbed_phoenix_hand,UnLimbited Phoenix Hand,palm_breadth_mm,Anthropometric,mm,82,82,131,1,Largura da Palma (em mm),"Largura metacarpal entre nós dos dedos — define a escala de impressão uniforme: HandPerc = palm_breadth_mm / 82 × 100, limitada a 100–160% (mm)",,False
unlimbed_phoenix_hand,UnLimbited Phoenix Hand,HandPerc_override,Anthropometric,%,0,0,160,1,Sobreposição de Escala (%),Sobreposição manual da escala de impressão (%) — 0 deriva a escala da largura da palma; 100–160 define-a diretamente,,False
unlimbed_phoenix_hand,UnLimbited Phoenix Hand,index_finger_length_mm,Anthropometric,mm,72,55,115,1,Comprimento do Indicador (mm),"Comprimento total do dedo indicador, da prega MCP à ponta (mm) — alonga o dedo esticando o corpo; os furos dos pinos mantêm-se redondos",,False
unlimbed_phoenix_hand,UnLimbited Phoenix Hand,index_base_length_mm,Segment split,mm,31,18,55,1,Base do Indicador (mm),"Comprimento do segmento proximal (base) do indicador, MCP a PIP (mm) — a ponta preenche o resto",,False
unlimbed_phoenix_hand,UnLimbited Phoenix Hand,middle_finger_length_mm,Anthropometric,mm,72,55,115,1,Comprimento do Médio (mm),"Comprimento total do dedo médio, da prega MCP à ponta (mm) — alonga o dedo esticando o corpo; os furos dos pinos mantêm-se redondos",,False
unlimbed_phoenix_hand,UnLimbited Phoenix Hand,middle_base_length_mm,Segment split,mm,31,18,55,1,Base do Médio (mm),"Comprimento do segmento proximal (base) do médio, MCP a PIP (mm) — a ponta preenche o resto",,False
unlimbed_phoenix_hand,UnLimbited Phoenix Hand,ring_finger_length_mm,Anthropometric,mm,72,55,115,1,Comprimento do Anelar (mm),"Comprimento total do dedo anelar, da prega MCP à ponta (mm) — alonga o dedo esticando o corpo; os furos dos pinos mantêm-se redondos",,False
unlimbed_phoenix_hand,UnLimbited Phoenix Hand,ring_base_length_mm,Segment split,mm,31,18,55,1,Base do Anelar (mm),"Comprimento do segmento proximal (base) do anelar, MCP a PIP (mm) — a ponta preenche o resto",,False
unlimbed_phoenix_hand,UnLimbited Phoenix Hand,pinky_finger_length_mm,Anthropometric,mm,72,55,115,1,Comprimento do Mindinho (mm),"Comprimento total do dedo mindinho, da prega MCP à ponta (mm) — alonga o dedo esticando o corpo; os furos dos pinos mantêm-se redondos",,False
unlimbed_phoenix_hand,UnLimbited Phoenix Hand,pinky_base_length_mm,Segment split,mm,31,18,55,1,Base do Mindinho (mm),"Comprimento do segmento proximal (base) do mindinho, MCP a PIP (mm) — a ponta preenche o resto",,False
unlimbed_phoenix_hand,UnLimbited Phoenix Hand,thumb_length_mm,Anthropometric,mm,72,45,80,1,Comprimento do Polegar (mm),"Comprimento total do polegar, da prega MCP à ponta (mm) — estica o corpo do polegar; os furos mantêm-se redondos. O polegar Phoenix reutiliza a peça do dedo (nativo 72 mm); use ~62 para um polegar anatómico",,False
unlimbed_phoenix_hand,UnLimbited Phoenix Hand,thumb_base_length_mm,Segment split,mm,31,18,50,1,Base do Polegar (mm),"Comprimento do segmento proximal (base) do polegar, MCP a IP (mm) — a ponta preenche o resto",,False
