evidence_id,campaign_id,test_id,data_hora,caminho,tipo,formato,sha256,gerado_por,descricao,observacoes
ANNEX-B-001,repetition,,2026-07-14T08:00:00+01:00,evidencias/2026-07-13_23-22-21_repetition/metadados.json,metadados,json,c68807629484d347c14ce5c30b0f189ff75babffe93fa5777c12d53fca9af18c,Claude Code,Configuração e limites da campanha,Cópia revista para o anexo
ANNEX-B-002,repetition,REP-DET-001,2026-07-14T08:00:00+01:00,evidencias/2026-07-13_23-22-21_repetition/results/REP-DET-001.json,resultado,json,d7398b085f9d7357317853f01b792a86f0b1ac4ad0b59feeac8851a80bfa2e49,Claude Code,Repetição Flexy Beast,7 de 10 conclusões
ANNEX-B-003,repetition,REP-DET-002,2026-07-14T08:00:00+01:00,evidencias/2026-07-13_23-22-21_repetition/results/REP-DET-002.json,resultado,json,ddd97b83e641e8fc00dbb230014747c799b5974083b01c132026c59ac31a7715,Claude Code,Repetição Paraglider Hand,5 de 10 conclusões
ANNEX-B-004,repetition,REP-DET-003,2026-07-14T08:00:00+01:00,evidencias/2026-07-13_23-22-21_repetition/results/REP-DET-003.json,resultado,json,82b1496a2ea884bf3e9acf52b606cfab4bd7ae6db769853279f1e164ec0f3a3e,Claude Code,Repetição UnLimbited Phoenix,5 de 10 conclusões
ANNEX-B-005,repetition,REP-XBR-001,2026-07-14T08:00:00+01:00,evidencias/2026-07-13_23-22-21_repetition/results/xbr-comparison.json,resultado,json,1333619bf024f513b051a1be4448bb940af0e339d847c5a11977ec7e10bf2d28,Claude Code,Comparação entre navegadores,Chromium e Firefox idênticos; WebKit inconclusivo
ANNEX-B-006,robustness,,2026-07-14T08:00:00+01:00,evidencias/2026-07-14_00-02-40_robustness/metadados.json,metadados,json,e4a6529e2157e5b92c4e58ef3b2ecb65d81a8b3de0434572305f4b2e45a59d59,Claude Code,Configuração da campanha de recuperação,Cópia revista para o anexo
ANNEX-B-007,robustness,ROB-API,2026-07-14T08:00:00+01:00,evidencias/2026-07-14_00-02-40_robustness/results/robustness-api.json,resultado,json,7d9a811b5360c098bc9b8e3646f71f261b696c77f477f1b832580a9301ce8533,Claude Code,Resultados dos pedidos directos,Inclui aceitação indevida de texto num campo numérico
ANNEX-B-008,robustness,ROB-UI,2026-07-14T08:00:00+01:00,evidencias/2026-07-14_00-02-40_robustness/results/robustness-ui.json,resultado,json,d553007267a5eb1582fd0794bf3a22774ea63725beb4d4bea1a27b62ac5f7965,Claude Code,Resultados da interface,Inclui recuperação e bloqueio de exportação
ANNEX-B-009,a11y-local,,2026-07-14T08:00:00+01:00,evidencias/2026-07-14_00-03-19_a11y-local/metadados.json,metadados,json,687f3f66adcea78519d7f282e13fc84e60cbb978acdbb7a7645de463fe265c83,Claude Code,Configuração da avaliação local,Cópia revista para o anexo
ANNEX-B-010,a11y-local,ACC-AUT,2026-07-14T08:00:00+01:00,evidencias/2026-07-14_00-03-19_a11y-local/results/a11y-local-summary.json,resultado,json,ca22a0833b63fd6e23557f74787d5dbe3c319cf89ed000715335db059b5ea13a,Claude Code,Síntese automática local,13 ocorrências em oito estados
ANNEX-B-011,a11y-local,ACC-MAN,2026-07-14T08:00:00+01:00,evidencias/2026-07-14_00-03-19_a11y-local/results/a11y-manual-checklist.json,protocolo,json,ef6378e762356f2803b6fa2b5d8a73984b15699dfa6c1a6decebc4e3a183ed10,Claude Code,Lista de verificações manuais,12 verificações pendentes
ANNEX-B-012,a11y-public,,2026-07-14T08:00:00+01:00,evidencias/2026-07-14_00-06-48_a11y-public/metadados.json,metadados,json,676a2f2d07f23e5f252827fc87a7709ee21f119cd474f318ea5591fe000b6d4d,Claude Code,Configuração da avaliação pública,Cópia revista para o anexo
ANNEX-B-013,a11y-public,ACC-PUB,2026-07-14T08:00:00+01:00,evidencias/2026-07-14_00-06-48_a11y-public/results/a11y-public.json,resultado,json,ee043cf172d2e4ccd4ff4e837959da73ca6ebbfb4e8ebfeecee9d4927273c559,Claude Code,Síntese automática da página pública,0 violações automáticas e 1 verificação incompleta
ANNEX-B-014,a11y-manual,ACC-MAN-FORM,2026-07-02T16:02:00+01:00,evidencias/lista_verificacao_manual_acessibilidade_wcag_2_2.md,resultado,markdown,086979d87e1e9585f8009abc0aa9b9cf8f103c55175454087953fed67357add1,Pedro Candeias / Codex,Resultado da avaliação manual de acessibilidade,7 verificações conformes e 5 não conformes
ANNEX-B-015,a11y-manual,ACC-MAN-FORM,2026-07-02T16:02:00+01:00,evidencias/lista_verificacao_manual_acessibilidade_wcag_2_2.docx,resultado,docx,d2ed6166993475be5e52b54acc9a72dca513dd578815f037ad732c40515c45a1,Pedro Candeias / Codex,Resultado preenchível da avaliação manual,Derivado da fonte Markdown ANNEX-B-014
