modelo,perfil,ponto_medido,parametro_entrada,estado_parametro,entrada_mm,malha_mm,leitura_1_mm,leitura_2_mm,leitura_3_mm,media_peca_fisica_mm,amplitude_leituras_mm,desvio_malha_peca_mm,desvio_percentual,ficheiro_malha
Flexy Beast,child_8,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,64.0,97.385,,,,,,,,docs/print-validation/flexy_beast/child_8/parts/palm.3mf
Flexy Beast,child_8,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,80.103,,,,,,,,docs/print-validation/flexy_beast/child_8/parts/palm.3mf
Flexy Beast,child_8,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,37.123,,,,,,,,docs/print-validation/flexy_beast/child_8/parts/palm.3mf
Flexy Beast,teen_15,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,78.0,117.144,,,,,,,,docs/print-validation/flexy_beast/teen_15/parts/palm.3mf
Flexy Beast,teen_15,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,96.355,,,,,,,,docs/print-validation/flexy_beast/teen_15/parts/palm.3mf
Flexy Beast,teen_15,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,44.655,,,,,,,,docs/print-validation/flexy_beast/teen_15/parts/palm.3mf
Flexy Beast,adult_28,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,90.0,134.081,,,,,,,,docs/print-validation/flexy_beast/adult_28/parts/palm.3mf
Flexy Beast,adult_28,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,110.286,,,,,,,,docs/print-validation/flexy_beast/adult_28/parts/palm.3mf
Flexy Beast,adult_28,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,51.112,,,,,,,,docs/print-validation/flexy_beast/adult_28/parts/palm.3mf
Flexy Beast,elderly_70,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,84.0,125.612,,,,,,,,docs/print-validation/flexy_beast/elderly_70/parts/palm.3mf
Flexy Beast,elderly_70,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,103.321,,,,,,,,docs/print-validation/flexy_beast/elderly_70/parts/palm.3mf
Flexy Beast,elderly_70,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,47.884,,,,,,,,docs/print-validation/flexy_beast/elderly_70/parts/palm.3mf
Paraglider Hand,child_8,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,63.0,76.513,,,,,,,,docs/print-validation/paraglider_hand/child_8/parts/palm.3mf
Paraglider Hand,child_8,Palma: extensão total no eixo Y,palm_length_mm,contextual; não controla este eixo de forma independente,78.0,86.306,,,,,,,,docs/print-validation/paraglider_hand/child_8/parts/palm.3mf
Paraglider Hand,child_8,Palma: extensão total no eixo Z,palm_thickness_mm,contextual; não controla este eixo de forma independente,20.0,28.989,,,,,,,,docs/print-validation/paraglider_hand/child_8/parts/palm.3mf
Paraglider Hand,teen_15,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,78.0,94.730,,,,,,,,docs/print-validation/paraglider_hand/teen_15/parts/palm.3mf
Paraglider Hand,teen_15,Palma: extensão total no eixo Y,palm_length_mm,contextual; não controla este eixo de forma independente,105.0,106.855,,,,,,,,docs/print-validation/paraglider_hand/teen_15/parts/palm.3mf
Paraglider Hand,teen_15,Palma: extensão total no eixo Z,palm_thickness_mm,contextual; não controla este eixo de forma independente,25.0,35.892,,,,,,,,docs/print-validation/paraglider_hand/teen_15/parts/palm.3mf
Paraglider Hand,adult_28,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,90.0,109.304,,,,,,,,docs/print-validation/paraglider_hand/adult_28/parts/palm.3mf
Paraglider Hand,adult_28,Palma: extensão total no eixo Y,palm_length_mm,contextual; não controla este eixo de forma independente,114.0,123.295,,,,,,,,docs/print-validation/paraglider_hand/adult_28/parts/palm.3mf
Paraglider Hand,adult_28,Palma: extensão total no eixo Z,palm_thickness_mm,contextual; não controla este eixo de forma independente,33.0,41.414,,,,,,,,docs/print-validation/paraglider_hand/adult_28/parts/palm.3mf
Paraglider Hand,elderly_70,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,84.0,102.017,,,,,,,,docs/print-validation/paraglider_hand/elderly_70/parts/palm.3mf
Paraglider Hand,elderly_70,Palma: extensão total no eixo Y,palm_length_mm,contextual; não controla este eixo de forma independente,140.0,115.075,,,,,,,,docs/print-validation/paraglider_hand/elderly_70/parts/palm.3mf
Paraglider Hand,elderly_70,Palma: extensão total no eixo Z,palm_thickness_mm,contextual; não controla este eixo de forma independente,32.0,38.653,,,,,,,,docs/print-validation/paraglider_hand/elderly_70/parts/palm.3mf
UnLimbited Phoenix,child_8,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,82.0,82.165,,,,,,,,docs/print-validation/unlimbed_phoenix_hand/child_8/unlimbed_phoenix_hand_child_8_palm.3mf
UnLimbited Phoenix,child_8,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,91.964,,,,,,,,docs/print-validation/unlimbed_phoenix_hand/child_8/unlimbed_phoenix_hand_child_8_palm.3mf
UnLimbited Phoenix,child_8,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,30.553,,,,,,,,docs/print-validation/unlimbed_phoenix_hand/child_8/unlimbed_phoenix_hand_child_8_palm.3mf
UnLimbited Phoenix,teen_15,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,88.0,88.177,,,,,,,,docs/print-validation/unlimbed_phoenix_hand/teen_15/unlimbed_phoenix_hand_teen_15_palm.3mf
UnLimbited Phoenix,teen_15,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,98.693,,,,,,,,docs/print-validation/unlimbed_phoenix_hand/teen_15/unlimbed_phoenix_hand_teen_15_palm.3mf
UnLimbited Phoenix,teen_15,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,32.789,,,,,,,,docs/print-validation/unlimbed_phoenix_hand/teen_15/unlimbed_phoenix_hand_teen_15_palm.3mf
UnLimbited Phoenix,adult_28,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,90.0,90.181,,,,,,,,docs/print-validation/unlimbed_phoenix_hand/adult_28/unlimbed_phoenix_hand_adult_28_palm.3mf
