modelo,perfil,ponto_medido,malha_mm,material_condicao_teorica,hipotese_contracao_linear_percentual,estimativa_dimensional_teorica_mm,desvio_teorico_malha_estimativa_mm,natureza_valor
Flexy Beast,child_8,Palma: extensao total no eixo X,97.385,Bambu PLA Basic,0.300,97.093,-0.292,estimativa teorica; nao medida fisica
Flexy Beast,child_8,Palma: extensao total no eixo Y,80.103,Bambu PLA Basic,0.300,79.863,-0.240,estimativa teorica; nao medida fisica
Flexy Beast,child_8,Palma: extensao total no eixo Z,37.123,Bambu PLA Basic,0.300,37.012,-0.111,estimativa teorica; nao medida fisica
Flexy Beast,teen_15,Palma: extensao total no eixo X,117.144,Bambu PLA Basic,0.300,116.793,-0.351,estimativa teorica; nao medida fisica
Flexy Beast,teen_15,Palma: extensao total no eixo Y,96.355,Bambu PLA Basic,0.300,96.066,-0.289,estimativa teorica; nao medida fisica
Flexy Beast,teen_15,Palma: extensao total no eixo Z,44.655,Bambu PLA Basic,0.300,44.521,-0.134,estimativa teorica; nao medida fisica
Flexy Beast,adult_28,Palma: extensao total no eixo X,134.081,Bambu PLA Basic,0.300,133.679,-0.402,estimativa teorica; nao medida fisica
Flexy Beast,adult_28,Palma: extensao total no eixo Y,110.286,Bambu PLA Basic,0.300,109.955,-0.331,estimativa teorica; nao medida fisica
Flexy Beast,adult_28,Palma: extensao total no eixo Z,51.112,Bambu PLA Basic,0.300,50.959,-0.153,estimativa teorica; nao medida fisica
Flexy Beast,elderly_70,Palma: extensao total no eixo X,125.612,Bambu PLA Basic,0.300,125.235,-0.377,estimativa teorica; nao medida fisica
Flexy Beast,elderly_70,Palma: extensao total no eixo Y,103.321,Bambu PLA Basic,0.300,103.011,-0.310,estimativa teorica; nao medida fisica
Flexy Beast,elderly_70,Palma: extensao total no eixo Z,47.884,Bambu PLA Basic,0.300,47.740,-0.144,estimativa teorica; nao medida fisica
Paraglider Hand,child_8,Palma: extensao total no eixo X,76.513,Bambu PLA Basic,0.300,76.283,-0.230,estimativa teorica; nao medida fisica
Paraglider Hand,child_8,Palma: extensao total no eixo Y,86.306,Bambu PLA Basic,0.300,86.047,-0.259,estimativa teorica; nao medida fisica
Paraglider Hand,child_8,Palma: extensao total no eixo Z,28.989,Bambu PLA Basic,0.300,28.902,-0.087,estimativa teorica; nao medida fisica
Paraglider Hand,teen_15,Palma: extensao total no eixo X,94.730,Bambu PLA Basic,0.300,94.446,-0.284,estimativa teorica; nao medida fisica
Paraglider Hand,teen_15,Palma: extensao total no eixo Y,106.855,Bambu PLA Basic,0.300,106.534,-0.321,estimativa teorica; nao medida fisica
Paraglider Hand,teen_15,Palma: extensao total no eixo Z,35.892,Bambu PLA Basic,0.300,35.784,-0.108,estimativa teorica; nao medida fisica
Paraglider Hand,adult_28,Palma: extensao total no eixo X,109.304,Bambu PLA Basic,0.300,108.976,-0.328,estimativa teorica; nao medida fisica
Paraglider Hand,adult_28,Palma: extensao total no eixo Y,123.295,Bambu PLA Basic,0.300,122.925,-0.370,estimativa teorica; nao medida fisica
Paraglider Hand,adult_28,Palma: extensao total no eixo Z,41.414,Bambu PLA Basic,0.300,41.290,-0.124,estimativa teorica; nao medida fisica
Paraglider Hand,elderly_70,Palma: extensao total no eixo X,102.017,Bambu PLA Basic,0.300,101.711,-0.306,estimativa teorica; nao medida fisica
Paraglider Hand,elderly_70,Palma: extensao total no eixo Y,115.075,Bambu PLA Basic,0.300,114.730,-0.345,estimativa teorica; nao medida fisica
Paraglider Hand,elderly_70,Palma: extensao total no eixo Z,38.653,Bambu PLA Basic,0.300,38.537,-0.116,estimativa teorica; nao medida fisica
UnLimbited Phoenix,child_8,Palma: extensao total no eixo X,82.165,Bambu PLA Basic,0.300,81.919,-0.246,estimativa teorica; nao medida fisica
UnLimbited Phoenix,child_8,Palma: extensao total no eixo Y,91.964,Bambu PLA Basic,0.300,91.688,-0.276,estimativa teorica; nao medida fisica
UnLimbited Phoenix,child_8,Palma: extensao total no eixo Z,30.553,Bambu PLA Basic,0.300,30.461,-0.092,estimativa teorica; nao medida fisica
UnLimbited Phoenix,teen_15,Palma: extensao total no eixo X,88.177,Bambu PLA Basic,0.300,87.912,-0.265,estimativa teorica; nao medida fisica
UnLimbited Phoenix,teen_15,Palma: extensao total no eixo Y,98.693,Bambu PLA Basic,0.300,98.397,-0.296,estimativa teorica; nao medida fisica
UnLimbited Phoenix,teen_15,Palma: extensao total no eixo Z,32.789,Bambu PLA Basic,0.300,32.691,-0.098,estimativa teorica; nao medida fisica
UnLimbited Phoenix,adult_28,Palma: extensao total no eixo X,90.181,Bambu PLA Basic,0.300,89.910,-0.271,estimativa teorica; nao medida fisica
UnLimbited Phoenix,adult_28,Palma: extensao total no eixo Y,100.936,Bambu PLA Basic,0.300,100.633,-0.303,estimativa teorica; nao medida fisica
UnLimbited Phoenix,adult_28,Palma: extensao total no eixo Z,33.534,Bambu PLA Basic,0.300,33.433,-0.101,estimativa teorica; nao medida fisica
UnLimbited Phoenix,elderly_70,Palma: extensao total no eixo X,84.169,Bambu PLA Basic,0.300,83.916,-0.253,estimativa teorica; nao medida fisica
UnLimbited Phoenix,elderly_70,Palma: extensao total no eixo Y,94.207,Bambu PLA Basic,0.300,93.924,-0.283,estimativa teorica; nao medida fisica
UnLimbited Phoenix,elderly_70,Palma: extensao total no eixo Z,31.298,Bambu PLA Basic,0.300,31.204,-0.094,estimativa teorica; nao medida fisica
