modelo,perfil,material,impressora,camada_mm,enchimento,suportes,tempo_estimado,filamento_estimado_mm,massa_estimada_g
Flexy Beast,child_8,Bambu PLA Basic,"Bambu Lab A1; bico 0,4 mm","0,20",15%; grelha,Não,6h39m34s,27387.6,83.0
Flexy Beast,teen_15,Bambu PLA Basic,"Bambu Lab A1; bico 0,4 mm","0,20",15%; grelha,Não,9h51m52s,43180.9,130.87
Flexy Beast,adult_28,Bambu PLA Basic,"Bambu Lab A1; bico 0,4 mm","0,20",15%; grelha,Não,12h34m14s,55811.9,169.15
Flexy Beast,elderly_70,Bambu PLA Basic,"Bambu Lab A1; bico 0,4 mm","0,20",15%; grelha,Não,10h52m57s,47602.0,144.27
Paraglider Hand,child_8,Bambu PLA Basic,"Bambu Lab A1; bico 0,4 mm","0,20",15%; grelha,Não,4h22m47s,16522.2,50.07
Paraglider Hand,teen_15,Bambu PLA Basic,"Bambu Lab A1; bico 0,4 mm","0,20",15%; grelha,Não,6h45m18s,27695.5,83.94
Paraglider Hand,adult_28,Bambu PLA Basic,"Bambu Lab A1; bico 0,4 mm","0,20",15%; grelha,Não,8h55m41s,38449.4,116.53
Paraglider Hand,elderly_70,Bambu PLA Basic,"Bambu Lab A1; bico 0,4 mm","0,20",15%; grelha,Não,7h09m05s,29627.5,89.79
UnLimbited Phoenix,child_8,Bambu PLA Basic,"Bambu Lab A1; bico 0,4 mm","0,20",15%; grelha,Não,7h29m44s,30673.7,92.96
UnLimbited Phoenix,teen_15,Bambu PLA Basic,"Bambu Lab A1; bico 0,4 mm","0,20",15%; grelha,Não,8h30m45s,36335.2,110.12
UnLimbited Phoenix,adult_28,Bambu PLA Basic,"Bambu Lab A1; bico 0,4 mm","0,20",15%; grelha,Não,8h56m20s,38179.8,115.71
UnLimbited Phoenix,elderly_70,Bambu PLA Basic,"Bambu Lab A1; bico 0,4 mm","0,20",15%; grelha,Não,7h49m09s,32412.0,98.23
