suplemento,caminho_entrega,ficheiro_origem,descricao,tamanho_bytes
S1,01_dados_antropometricos/ansur_1988_complete.csv,sources/manuscript/annexes/dados_antropometricos_v14.67.0/ansur_1988_complete.csv,Fonte ANSUR completa usada na preparação dos dados,1027012
S1,01_dados_antropometricos/ansur_1988_hand_arm.csv,sources/manuscript/annexes/dados_antropometricos_v14.67.0/ansur_1988_hand_arm.csv,Subconjunto ANSUR da mão e do membro superior,245550
S1,01_dados_antropometricos/descricao_do_suplemento_1.md,gerado para o pacote de entrega,Índice e limite de interpretação dos dados antropométricos,581
S1,01_dados_antropometricos/multi_population_hand.csv,sources/manuscript/annexes/dados_antropometricos_v14.67.0/multi_population_hand.csv,Compilação multipopulacional de medidas da mão,1119918
S2,02_avaliacao_plataforma/avaliacao_ia_antropometrica/ai_anthropometric_validation.md,ai-parametric-prosthetic-hand-generator/docs/ai_anthropometric_validation.md,"Pedido, metadados ou resultado da avaliação antropométrica por IA",39836
S2,02_avaliacao_plataforma/avaliacao_ia_antropometrica/flexy-beast-ai-sim/flexy-beast_ai-sizing-dimensional-report_2026-06-28.md,ai-parametric-prosthetic-hand-generator/docs/flexy-beast-ai-sim/flexy-beast_ai-sizing-dimensional-report_2026-06-28.md,"Pedido, metadados ou resultado da avaliação antropométrica por IA",15262
S2,02_avaliacao_plataforma/avaliacao_ia_antropometrica/flexy-beast-ai-sim/measurements.json,ai-parametric-prosthetic-hand-generator/docs/flexy-beast-ai-sim/measurements.json,"Pedido, metadados ou resultado da avaliação antropométrica por IA",8683
S2,02_avaliacao_plataforma/avaliacao_ia_antropometrica/flexy-beast-ai-sim/run-metadata.json,ai-parametric-prosthetic-hand-generator/docs/flexy-beast-ai-sim/run-metadata.json,"Pedido, metadados ou resultado da avaliação antropométrica por IA",34309
S2,02_avaliacao_plataforma/avaliacao_ia_antropometrica/paraglider-ai-sim/measurements.json,ai-parametric-prosthetic-hand-generator/docs/paraglider-ai-sim/measurements.json,"Pedido, metadados ou resultado da avaliação antropométrica por IA",4718
S2,02_avaliacao_plataforma/avaliacao_ia_antropometrica/paraglider-ai-sim/paraglider-hand_ai-sizing-dimensional-report_2026-06-28.md,ai-parametric-prosthetic-hand-generator/docs/paraglider-ai-sim/paraglider-hand_ai-sizing-dimensional-report_2026-06-28.md,"Pedido, metadados ou resultado da avaliação antropométrica por IA",13721
S2,02_avaliacao_plataforma/avaliacao_ia_antropometrica/paraglider-ai-sim/run-metadata.json,ai-parametric-prosthetic-hand-generator/docs/paraglider-ai-sim/run-metadata.json,"Pedido, metadados ou resultado da avaliação antropométrica por IA",36941
S2,02_avaliacao_plataforma/avaliacao_ia_antropometrica/phoenix-ai-sim/measurements.json,ai-parametric-prosthetic-hand-generator/docs/phoenix-ai-sim/measurements.json,"Pedido, metadados ou resultado da avaliação antropométrica por IA",723
S2,02_avaliacao_plataforma/avaliacao_ia_antropometrica/phoenix-ai-sim/run-metadata.json,ai-parametric-prosthetic-hand-generator/docs/phoenix-ai-sim/run-metadata.json,"Pedido, metadados ou resultado da avaliação antropométrica por IA",10100
S2,02_avaliacao_plataforma/avaliacao_ia_antropometrica/phoenix-ai-sim/unlimbited-phoenix-hand_ai-sizing-dimensional-report_2026-06-28.md,ai-parametric-prosthetic-hand-generator/docs/phoenix-ai-sim/unlimbited-phoenix-hand_ai-sizing-dimensional-report_2026-06-28.md,"Pedido, metadados ou resultado da avaliação antropométrica por IA",9611
S2,02_avaliacao_plataforma/avaliacao_ia_antropometrica/ucd-ai-sim/test1-2_ai-results.json,ai-parametric-prosthetic-hand-generator/docs/ucd-ai-sim/test1-2_ai-results.json,"Pedido, metadados ou resultado da avaliação antropométrica por IA",12907
S2,02_avaliacao_plataforma/avaliacao_ia_antropometrica/ucd-ai-sim/test1-2_inputs.json,ai-parametric-prosthetic-hand-generator/docs/ucd-ai-sim/test1-2_inputs.json,"Pedido, metadados ou resultado da avaliação antropométrica por IA",3229
S2,02_avaliacao_plataforma/avaliacao_ia_antropometrica/ucd-ai-sim/test2_handedness-reproducibility.json,ai-parametric-prosthetic-hand-generator/docs/ucd-ai-sim/test2_handedness-reproducibility.json,"Pedido, metadados ou resultado da avaliação antropométrica por IA",8877
